	variance
IVL	0.9718304
TSC22D1	0.97108394
THBS1	0.9693515
TIMP2	0.9684212
HSPD1	0.96799356
CAVIN2	0.9673235
NUCB2	0.9530859
ATP5F1B	0.9519719
IL6	0.9399534
MYDGF	0.93889534
HEXB	0.935115
HMGN2	0.93483126
ANP32B	0.9335599
PLPP3	0.930464
MYL3	0.9273503
AIF1	0.92083347
ATP5PF	0.9186672
CD52	0.91377294
PRDX2	0.91004336
MT1M	0.9092208
ATP5MG	0.90870005
FXYD3	0.9069775
ATP5MD	0.9069479
ATP5IF1	0.9063759
PTPRC	0.89944154
CCL17	0.89563286
APOH	0.8939442
CALML3	0.8931725
IGFBP1	0.89151216
SLC25A3	0.8890782
STMN1	0.88787824
HSPE1	0.8875751
SET	0.88457894
PTMS	0.8790376
GBP6	0.8779189
ISG20	0.87138295
CLIC1	0.8712538
NPY	0.8696095
PFDN5	0.8685415
MSLN	0.8675426
ALAS2	0.8617961
CXCL14	0.8608186
FGL1	0.8574176
ANKRD1	0.84707946
PMP22	0.84544355
SLC2A1	0.8451726
GPRC5A	0.8422119
C9orf24	0.84177583
RPS4Y1	0.8377178
NKG7	0.83708155
GNG11	0.8370624
PAPPA	0.8365596
BEX3	0.8325124
RPL36A	0.83201224
IL1R2	0.8320065
PALLD	0.82692915
YWHAH	0.82642287
ADM	0.82445264
RGS1	0.82423776
CSF3R	0.821316
BSG	0.8180476
GRN	0.81696
CD55	0.8166403
ATP5MC2	0.8140124
DHRS7	0.8106994
CAVIN1	0.8100918
MNDA	0.8080536
KRT3	0.8049683
CENPF	0.80294955
MTDH	0.8013001
UQCR10	0.8000549
NUCKS1	0.79630524
SPINT1	0.79530025
LAPTM5	0.79032636
HMGB2	0.78973734
HTRA1	0.78569597
RAN	0.782785
ANKRD36C	0.7688128
SLC25A6	0.7679943
TPPP3	0.76639307
CD163	0.76589274
RGCC	0.7619836
IGHD	0.7585311
PCK1	0.75816286
UQCRB	0.7479254
HLA-DRB1	0.74476653
UQCRQ	0.744198
C11orf54	0.7411212
SSR3	0.74072355
HSD17B1	0.73940146
DST	0.73881257
RAP1B	0.7360274
VAMP8	0.73393977
CCL3	0.73283434
CCL20	0.73093545
AKAP12	0.72848946
CLDN7	0.7246328
POLR2L	0.7216178
CYP19A1	0.71732146
MLANA	0.71681714
CDH19	0.7145011
FBN1	0.71335
SPCS2	0.7120875
IGKV2D-29	0.7117583
HNRNPU	0.7103153
NDUFS5	0.7048758
ZEB2	0.70439583
PLN	0.7009393
ISM2	0.7009199
AKR1B10	0.69722456
ARPC3	0.6946626
HMGN3	0.6945281
COX5A	0.6902308
TXNDC5	0.68857354
SERBP1	0.68833923
RTN4	0.68705535
HMGB3	0.68301797
FKBP5	0.6820533
PRKAR2B	0.6807776
VMO1	0.67950106
RGS18	0.67883795
LIMS1	0.6754729
EID1	0.66943735
FHL1	0.66620153
TM4SF4	0.66606694
SOD3	0.66482747
TUBA1C	0.66097426
IL6ST	0.66071683
EDNRB	0.6515151
ITM2C	0.6511879
CDK6	0.6488535
LAPTM4A	0.6477033
NUPR1	0.6474763
COX6A1	0.64719087
AEBP1	0.64643204
COL4A2	0.6462049
COX7A2	0.6443365
PCP4	0.64422715
CRP	0.64372915
VGLL1	0.642583
EMP3	0.64195496
BASP1	0.6413888
AMY2A	0.6405737
GSTA1	0.6405444
ALOX5AP	0.6395275
ALDH3A1	0.6379463
ATP6V0B	0.63770115
ATP5MC1	0.6371154
DAB2	0.6331759
APLP2	0.6330783
RSPH1	0.6324154
TPM3	0.62956196
SEC61G	0.6275243
C12orf75	0.62176156
ATP5MPL	0.6213812
SARAF	0.61840445
SPRR2D	0.6174558
RRAD	0.6087335
SDCBP	0.6059345
LGALS7	0.6047882
NCOA7	0.60347444
SPTBN1	0.60201967
AHSP	0.5930468
