	gene
RFX2	RFX2
SPACA3	SPACA3
PHKB	PHKB
CHGB	CHGB
ETNK1	ETNK1
CD55	CD55
RFC2	RFC2
CLEC16A	CLEC16A
GLIPR1L1	GLIPR1L1
TRIM21	TRIM21
CPLX2	CPLX2
ZNF845	ZNF845
EFNA3	EFNA3
UBE3D	UBE3D
ZNF653	ZNF653
ZNF880	ZNF880
OR52E4	OR52E4
MAPKBP1	MAPKBP1
UBE3B	UBE3B
COL9A2	COL9A2
ARSF	ARSF
RHOB	RHOB
PRDM11	PRDM11
MGAT4B	MGAT4B
UNC119	UNC119
ZNF202	ZNF202
AARS	AARS
AMH	AMH
ITIH2	ITIH2
LHFPL2	LHFPL2
HMBOX1	HMBOX1
IFI30	IFI30
EVA1B	EVA1B
RBPMS2	RBPMS2
CCDC110	CCDC110
IPO13	IPO13
MRPL53	MRPL53
ZNF391	ZNF391
TMEM56-RWDD3	TMEM56-RWDD3
GATA5	GATA5
MYZAP	MYZAP
ASPG	ASPG
GJA4	GJA4
MRPL44	MRPL44
PAN3	PAN3
ANKLE1	ANKLE1
GPATCH11	GPATCH11
VPS35L	VPS35L
STAP1	STAP1
ZNF439	ZNF439
C16orf96	C16orf96
ANGPTL7	ANGPTL7
SPTB	SPTB
PPP1R3E	PPP1R3E
SLC37A4	SLC37A4
PRPF39	PRPF39
JADE3	JADE3
GNAZ	GNAZ
MGRN1	MGRN1
DCUN1D4	DCUN1D4
PTCHD1	PTCHD1
SLC51B	SLC51B
PON3	PON3
CYGB	CYGB
GORASP2	GORASP2
AQP7	AQP7
ODF3L2	ODF3L2
PLA2G4B	PLA2G4B
STARD8	STARD8
ASB12	ASB12
SKIL	SKIL
PLK4	PLK4
NCCRP1	NCCRP1
FUT3	FUT3
KLHL7	KLHL7
SCG3	SCG3
PRPF19	PRPF19
ADPRHL1	ADPRHL1
OR2M3	OR2M3
VSTM2L	VSTM2L
BAK1	BAK1
MIER3	MIER3
ZNF703	ZNF703
OXSR1	OXSR1
PRKG1	PRKG1
SUPT16H	SUPT16H
LAIR1	LAIR1
SKP1	SKP1
SLC8A2	SLC8A2
CSHL1	CSHL1
FGF4	FGF4
ATP1B3	ATP1B3
NONO	NONO
EIF4E	EIF4E
RAB17	RAB17
GOLGA7B	GOLGA7B
C8orf88	C8orf88
GULP1	GULP1
CENPX	CENPX
CBX3	CBX3
HPCAL1	HPCAL1
UBR1	UBR1
PPP1R27	PPP1R27
SETX	SETX
TRABD2A	TRABD2A
HMGN4	HMGN4
MYO1F	MYO1F
PFDN5	PFDN5
HCN2	HCN2
AC073610.3	AC073610.3
MLX	MLX
NFXL1	NFXL1
CAPN14	CAPN14
FAF1	FAF1
GREM2	GREM2
TYW5	TYW5
PLA2G2C	PLA2G2C
AC009041.2	AC009041.2
ANKRD39	ANKRD39
RAD23B	RAD23B
AL139011.2	AL139011.2
C9orf153	C9orf153
KDELR2	KDELR2
UBQLN2	UBQLN2
ZMYND11	ZMYND11
DMRTB1	DMRTB1
CHI3L1	CHI3L1
IFT74	IFT74
ATAD3B	ATAD3B
MASTL	MASTL
EIF1B	EIF1B
CPD	CPD
RGPD8	RGPD8
PBX2	PBX2
FGF14	FGF14
MATN3	MATN3
HOGA1	HOGA1
FOXB1	FOXB1
CASTOR2	CASTOR2
DOCK5	DOCK5
UNC5D	UNC5D
FANCD2OS	FANCD2OS
KLC3	KLC3
PCP4	PCP4
DNAJB14	DNAJB14
ZBTB33	ZBTB33
BNIPL	BNIPL
PDXK	PDXK
HES2	HES2
RASSF3	RASSF3
AC116366.3	AC116366.3
NECAB2	NECAB2
P2RY13	P2RY13
DUXA	DUXA
HPCA	HPCA
MAJIN	MAJIN
SATL1	SATL1
ACE2	ACE2
NPIPA2	NPIPA2
TNN	TNN
TSSK3	TSSK3
ADCYAP1	ADCYAP1
CEP78	CEP78
AL645608.1	AL645608.1
NEO1	NEO1
DMWD	DMWD
FAM166B	FAM166B
ENO4	ENO4
OBSCN	OBSCN
CYP4X1	CYP4X1
GTF2H1	GTF2H1
TTC32	TTC32
TMED6	TMED6
CACNA1G	CACNA1G
UBE2J1	UBE2J1
PAFAH1B3	PAFAH1B3
SLC51A	SLC51A
FHL5	FHL5
TM4SF4	TM4SF4
CDK10	CDK10
NAB2	NAB2
UBN2	UBN2
SLC15A3	SLC15A3
NME1	NME1
MFSD13A	MFSD13A
TXNL1	TXNL1
TEX19	TEX19
ZMAT5	ZMAT5
AP3D1	AP3D1
CAPN10	CAPN10
SLC2A12	SLC2A12
CAPNS1	CAPNS1
IL1A	IL1A
BUB1B-PAK6	BUB1B-PAK6
MEGF6	MEGF6
TTC14	TTC14
OR1I1	OR1I1
SEC16B	SEC16B
KISS1R	KISS1R
TEX11	TEX11
NLGN1	NLGN1
PRKAG2	PRKAG2
NDUFAF4	NDUFAF4
SEMA3D	SEMA3D
NDUFB2	NDUFB2
MRGBP	MRGBP
TDP2	TDP2
CD1B	CD1B
RIN2	RIN2
MCUR1	MCUR1
APOA4	APOA4
RTN4RL2	RTN4RL2
HHIPL1	HHIPL1
FAM219B	FAM219B
OXT	OXT
PPP6R1	PPP6R1
HOXC8	HOXC8
ANKRD22	ANKRD22
LDHAL6B	LDHAL6B
ERV3-1	ERV3-1
NT5C3B	NT5C3B
C17orf50	C17orf50
PSD4	PSD4
C1orf74	C1orf74
IGDCC3	IGDCC3
MINK1	MINK1
TARDBP	TARDBP
FN3KRP	FN3KRP
CYP24A1	CYP24A1
PLA2G10	PLA2G10
CNEP1R1	CNEP1R1
NAT10	NAT10
DUSP1	DUSP1
ACSBG2	ACSBG2
TBL1XR1	TBL1XR1
PRPF40A	PRPF40A
CSF2RA	CSF2RA
TRIM23	TRIM23
TIAM2	TIAM2
LRRN4	LRRN4
NETO2	NETO2
SPHK1	SPHK1
TRAPPC13	TRAPPC13
RNASE7	RNASE7
SDHB	SDHB
HIST1H2BL	HIST1H2BL
HBA1	HBA1
PPP2R1A	PPP2R1A
CDC5L	CDC5L
AL645608.2	AL645608.2
UBE2U	UBE2U
ZC3H12C	ZC3H12C
CCDC106	CCDC106
EZR	EZR
WDR87	WDR87
KLHL10	KLHL10
SETDB2	SETDB2
S100A11	S100A11
PABPC4L	PABPC4L
BOP1	BOP1
DBR1	DBR1
DCUN1D5	DCUN1D5
PLIN2	PLIN2
CALML6	CALML6
PAPPA2	PAPPA2
MT-CO2	MT-CO2
VAMP3	VAMP3
CDC42EP5	CDC42EP5
SORCS1	SORCS1
NKRF	NKRF
SGTB	SGTB
STK26	STK26
SLC5A5	SLC5A5
KLHL32	KLHL32
GP9	GP9
PHF13	PHF13
CCDC198	CCDC198
KCTD2	KCTD2
AP2A1	AP2A1
ALG10	ALG10
LAMB4	LAMB4
MFSD3	MFSD3
USF1	USF1
C4orf47	C4orf47
ZNF155	ZNF155
CYB5R3	CYB5R3
MOSPD2	MOSPD2
MMP10	MMP10
EFCAB2	EFCAB2
ZNF514	ZNF514
RBM25	RBM25
CEBPG	CEBPG
RAB5IF	RAB5IF
ZFP69	ZFP69
SKIV2L	SKIV2L
CRYBG2	CRYBG2
RPL35A	RPL35A
HS3ST4	HS3ST4
CLPX	CLPX
KIF6	KIF6
ZC3H7A	ZC3H7A
RBM10	RBM10
AC015802.6	AC015802.6
CDKL5	CDKL5
H1FX	H1FX
DRC7	DRC7
RBM4	RBM4
RAB24	RAB24
ATL1	ATL1
KREMEN2	KREMEN2
FKBP3	FKBP3
ATP5MF-PTCD1	ATP5MF-PTCD1
MAPK10	MAPK10
FGFR2	FGFR2
CLPP	CLPP
ADD2	ADD2
ATAD2	ATAD2
USP30	USP30
ACOX3	ACOX3
VAMP1	VAMP1
CNNM2	CNNM2
TMED7-TICAM2	TMED7-TICAM2
SRSF8	SRSF8
TLE4	TLE4
MUC19	MUC19
CD47	CD47
NEIL1	NEIL1
DNAJC27	DNAJC27
CHTF18	CHTF18
GUCA2B	GUCA2B
CCL23	CCL23
KCNMB4	KCNMB4
NRIP2	NRIP2
FSIP1	FSIP1
RNF212B	RNF212B
MCF2L	MCF2L
PCCA	PCCA
MAGOHB	MAGOHB
NOL6	NOL6
CYP2F1	CYP2F1
ATF1	ATF1
LAPTM5	LAPTM5
ZMAT4	ZMAT4
TBCEL	TBCEL
RAB28	RAB28
SLC7A6OS	SLC7A6OS
HTR6	HTR6
ORM1	ORM1
ESRRG	ESRRG
NEK4	NEK4
SP1	SP1
FNTA	FNTA
TDRD3	TDRD3
OSBPL5	OSBPL5
ATG16L2	ATG16L2
NRCAM	NRCAM
KCNRG	KCNRG
TMBIM1	TMBIM1
NR2E1	NR2E1
OGDH	OGDH
RBM7	RBM7
RASL12	RASL12
CASQ2	CASQ2
MED8	MED8
AC008770.2	AC008770.2
ANKFN1	ANKFN1
CTPS2	CTPS2
RYR1	RYR1
BCAR1	BCAR1
ACVR1	ACVR1
LCMT2	LCMT2
CASP2	CASP2
DNAJC5G	DNAJC5G
ZMYND15	ZMYND15
STOML3	STOML3
RPS6KC1	RPS6KC1
HSFX4	HSFX4
SULT2B1	SULT2B1
CXCR6	CXCR6
ZNF556	ZNF556
TBC1D10B	TBC1D10B
ITIH3	ITIH3
BOD1	BOD1
ME3	ME3
NEU1	NEU1
ARID5A	ARID5A
ZKSCAN7	ZKSCAN7
UROS	UROS
OSGIN1	OSGIN1
IL23A	IL23A
OLFML3	OLFML3
PIK3C2A	PIK3C2A
SLC25A31	SLC25A31
GP6	GP6
NEUROD1	NEUROD1
ATM	ATM
AMPD3	AMPD3
OR1E1	OR1E1
RYR3	RYR3
WDR33	WDR33
MED4	MED4
SLCO1A2	SLCO1A2
TKT	TKT
ACER1	ACER1
HBP1	HBP1
NPBWR1	NPBWR1
TMPRSS11A	TMPRSS11A
MTG2	MTG2
RIMS1	RIMS1
C15orf40	C15orf40
SIX1	SIX1
ANKRD10	ANKRD10
SLC7A14	SLC7A14
TMCC2	TMCC2
OR2F2	OR2F2
ZNF506	ZNF506
OR51E1	OR51E1
CBWD1	CBWD1
GSAP	GSAP
MLYCD	MLYCD
SART1	SART1
SF3B5	SF3B5
KIAA1143	KIAA1143
NUCB1	NUCB1
HKR1	HKR1
CLK1	CLK1
LZTFL1	LZTFL1
ZNF37A	ZNF37A
SYCP3	SYCP3
HOMEZ	HOMEZ
SNUPN	SNUPN
ERCC8	ERCC8
TRAP1	TRAP1
LPL	LPL
IL1RN	IL1RN
APTX	APTX
NKAIN1	NKAIN1
IRGM	IRGM
TNFAIP2	TNFAIP2
NKAPL	NKAPL
NKPD1	NKPD1
C19orf67	C19orf67
CACNG7	CACNG7
CELSR2	CELSR2
AIP	AIP
YKT6	YKT6
HCCS	HCCS
XRCC6	XRCC6
CHRM2	CHRM2
ALG14	ALG14
ITPR2	ITPR2
TMEM205	TMEM205
ZNF852	ZNF852
SIN3B	SIN3B
SLC22A14	SLC22A14
DECR2	DECR2
TBC1D3B	TBC1D3B
LANCL2	LANCL2
CA1	CA1
MELK	MELK
GRIA3	GRIA3
CFAP126	CFAP126
MVB12A	MVB12A
KDM4C	KDM4C
CDHR2	CDHR2
ATP2A1	ATP2A1
SAG	SAG
MEIKIN	MEIKIN
SIRPB2	SIRPB2
KHDC1	KHDC1
CEP44	CEP44
MPP4	MPP4
SLFN12L	SLFN12L
RAB5B	RAB5B
RTF1	RTF1
DHRS7	DHRS7
P4HA3	P4HA3
ENTPD7	ENTPD7
WNT4	WNT4
BHLHE22	BHLHE22
OS9	OS9
CCDC169	CCDC169
IFITM3	IFITM3
CSNK1G1	CSNK1G1
REXO1	REXO1
ELF4	ELF4
USP33	USP33
SNX11	SNX11
GPX4	GPX4
ZNF552	ZNF552
FGD6	FGD6
FAM122B	FAM122B
SMNDC1	SMNDC1
INO80E	INO80E
SLCO4A1	SLCO4A1
FDX2	FDX2
DHFR2	DHFR2
COX5A	COX5A
CTXND2	CTXND2
FANCF	FANCF
SCNN1B	SCNN1B
CLPS	CLPS
DERL3	DERL3
STARD4	STARD4
USP9X	USP9X
CSNK2B	CSNK2B
NRK	NRK
NT5M	NT5M
POLR1A	POLR1A
PHGDH	PHGDH
C2CD5	C2CD5
POLR3A	POLR3A
