	gene
AP1AR	AP1AR
CHRNB1	CHRNB1
ENDOU	ENDOU
SLC43A3	SLC43A3
LRRC43	LRRC43
RFLNB	RFLNB
HOXA4	HOXA4
ARFRP1	ARFRP1
MFSD1	MFSD1
TANC1	TANC1
ARRDC2	ARRDC2
UFL1	UFL1
LHX1	LHX1
ATF3	ATF3
SPTBN2	SPTBN2
PHETA1	PHETA1
MSL3	MSL3
RAD51AP1	RAD51AP1
MGME1	MGME1
CXCR4	CXCR4
TSPYL6	TSPYL6
SCAMP1	SCAMP1
HNRNPA1L2	HNRNPA1L2
FZD5	FZD5
PHB2	PHB2
MMACHC	MMACHC
UGT3A1	UGT3A1
PIK3C2B	PIK3C2B
KLB	KLB
MYBPH	MYBPH
ZNF713	ZNF713
GOLGA8H	GOLGA8H
LANCL3	LANCL3
ABRAXAS1	ABRAXAS1
SAMHD1	SAMHD1
EXOSC8	EXOSC8
SPICE1	SPICE1
AC009802.1	AC009802.1
UBE2F	UBE2F
CATSPERB	CATSPERB
KCNH1	KCNH1
ATRAID	ATRAID
BTBD3	BTBD3
NAA40	NAA40
HNRNPD	HNRNPD
UVSSA	UVSSA
ATP13A4	ATP13A4
TMEM127	TMEM127
TCF19	TCF19
SNRPA	SNRPA
SDF2L1	SDF2L1
FAM120B	FAM120B
QPRT	QPRT
TMEM151A	TMEM151A
TP53TG5	TP53TG5
VMP1	VMP1
PRAG1	PRAG1
ZNF608	ZNF608
HACD4	HACD4
PVRIG	PVRIG
CLPTM1	CLPTM1
ZNF512	ZNF512
PRC1	PRC1
CD38	CD38
RBM44	RBM44
TRAPPC6A	TRAPPC6A
ACOX1	ACOX1
NDUFB3	NDUFB3
EPGN	EPGN
SERPINB6	SERPINB6
SLC6A16	SLC6A16
CNTN2	CNTN2
SLC17A3	SLC17A3
RPL6	RPL6
BORCS7	BORCS7
SLC22A18AS	SLC22A18AS
AHR	AHR
AC007906.2	AC007906.2
SYNDIG1	SYNDIG1
BMP8B	BMP8B
CCR5	CCR5
MAGI3	MAGI3
STK40	STK40
TRIM68	TRIM68
UTP18	UTP18
RSBN1	RSBN1
AES	AES
PENK	PENK
DNAI1	DNAI1
FAAP20	FAAP20
RXYLT1	RXYLT1
PCMT1	PCMT1
TSEN54	TSEN54
EVI5L	EVI5L
TCP1	TCP1
ATP13A1	ATP13A1
RIOK2	RIOK2
BICRA	BICRA
GIMAP5	GIMAP5
SEPSECS	SEPSECS
CRYBG1	CRYBG1
SLC27A6	SLC27A6
IMPA2	IMPA2
KRT8	KRT8
AK6	AK6
LGALS16	LGALS16
ANKRD36B	ANKRD36B
AMZ1	AMZ1
NEDD9	NEDD9
CATSPER4	CATSPER4
BTN3A2	BTN3A2
ZNHIT6	ZNHIT6
KDELC1	KDELC1
MOGAT3	MOGAT3
GNG2	GNG2
LRP5	LRP5
RAD21	RAD21
SNRPB2	SNRPB2
RPS13	RPS13
IL5RA	IL5RA
ZBTB7A	ZBTB7A
GANAB	GANAB
JMJD7-PLA2G4B	JMJD7-PLA2G4B
NUTM2D	NUTM2D
MROH9	MROH9
MFSD2A	MFSD2A
MYOM3	MYOM3
NCOA3	NCOA3
TYSND1	TYSND1
ORAI3	ORAI3
TCEANC2	TCEANC2
OOEP	OOEP
CYP1B1	CYP1B1
HAGH	HAGH
SPINK4	SPINK4
N4BP2	N4BP2
SELPLG	SELPLG
MAMSTR	MAMSTR
SGK2	SGK2
S100P	S100P
CWF19L2	CWF19L2
VWA1	VWA1
KCNJ8	KCNJ8
C8orf59	C8orf59
CDH2	CDH2
ZPBP	ZPBP
PPY	PPY
CLTC	CLTC
SMG5	SMG5
GMPPA	GMPPA
MIER2	MIER2
ELAVL1	ELAVL1
NIPAL4	NIPAL4
BRCA1	BRCA1
TRIM11	TRIM11
BCL3	BCL3
EIF3M	EIF3M
ARHGEF11	ARHGEF11
GHRHR	GHRHR
SNX30	SNX30
DHPS	DHPS
MOB1B	MOB1B
NRTN	NRTN
TMPRSS13	TMPRSS13
THOP1	THOP1
GOLGA6C	GOLGA6C
TAGAP	TAGAP
RDH11	RDH11
TRIM7	TRIM7
VKORC1	VKORC1
VSTM1	VSTM1
GRM2	GRM2
FARSB	FARSB
TUBB6	TUBB6
SMIM11A	SMIM11A
NPSR1	NPSR1
CASC3	CASC3
GPS1	GPS1
ADH7	ADH7
PDE7A	PDE7A
TNIK	TNIK
FGF18	FGF18
MLN	MLN
KYAT1	KYAT1
CYP2D6	CYP2D6
ZKSCAN2	ZKSCAN2
HMGN2	HMGN2
TRIM45	TRIM45
RNF121	RNF121
HPRT1	HPRT1
OPHN1	OPHN1
TMEM105	TMEM105
RASL10B	RASL10B
TANGO2	TANGO2
SAMD14	SAMD14
LYG1	LYG1
LRRC55	LRRC55
PTDSS1	PTDSS1
SLC2A10	SLC2A10
JRKL	JRKL
RIMBP2	RIMBP2
PNPLA7	PNPLA7
VEGFB	VEGFB
MT1B	MT1B
SH3BP4	SH3BP4
MARK4	MARK4
EHD1	EHD1
SNRPB	SNRPB
SP110	SP110
C11orf65	C11orf65
FSIP2	FSIP2
RNASE1	RNASE1
ALKAL1	ALKAL1
SYVN1	SYVN1
ST6GALNAC5	ST6GALNAC5
LRRC45	LRRC45
OTOF	OTOF
ADGRG2	ADGRG2
TTC24	TTC24
PIGX	PIGX
BCL2	BCL2
NCOR2	NCOR2
NUP62CL	NUP62CL
SOCS6	SOCS6
NUBP2	NUBP2
HMBS	HMBS
ZMYND8	ZMYND8
CDH6	CDH6
RASSF1	RASSF1
ZCCHC7	ZCCHC7
ZNF136	ZNF136
PIK3AP1	PIK3AP1
ROBO2	ROBO2
DPF1	DPF1
ADAT3	ADAT3
TLR4	TLR4
TMEM229B	TMEM229B
STK31	STK31
SLX1B	SLX1B
FPGS	FPGS
CLIP2	CLIP2
ZBED4	ZBED4
DEFB4A	DEFB4A
DCP1A	DCP1A
OLIG2	OLIG2
SPATA4	SPATA4
PPP1R16A	PPP1R16A
TNFRSF25	TNFRSF25
LHFPL5	LHFPL5
DNAJA3	DNAJA3
SKOR1	SKOR1
MCOLN1	MCOLN1
PLGLB2	PLGLB2
ABCC8	ABCC8
BACH2	BACH2
PDE1B	PDE1B
LYRM9	LYRM9
AP1M2	AP1M2
HOXA10	HOXA10
ZDHHC19	ZDHHC19
NEIL3	NEIL3
TMEM163	TMEM163
COX8A	COX8A
MDH1B	MDH1B
VPS13A	VPS13A
PSMB2	PSMB2
C12orf60	C12orf60
PIANP	PIANP
GPR174	GPR174
KRTAP16-1	KRTAP16-1
SPRR2B	SPRR2B
CHIC1	CHIC1
DERL2	DERL2
SLC25A38	SLC25A38
CD48	CD48
PRPF31	PRPF31
WDR78	WDR78
AC104452.1	AC104452.1
F13B	F13B
P2RX6	P2RX6
PDE1A	PDE1A
GSE1	GSE1
C4orf17	C4orf17
CD274	CD274
MMP8	MMP8
RPL36AL	RPL36AL
TSPAN15	TSPAN15
TPPP3	TPPP3
PURA	PURA
CENPN	CENPN
FZD1	FZD1
OR2B6	OR2B6
GGT2	GGT2
SNTA1	SNTA1
TMEM267	TMEM267
AGO2	AGO2
FOXF1	FOXF1
ZNF555	ZNF555
TUT7	TUT7
STAT5B	STAT5B
FAM155B	FAM155B
ZDHHC14	ZDHHC14
IZUMO4	IZUMO4
BPIFA2	BPIFA2
C16orf71	C16orf71
TMEM185B	TMEM185B
RBM17	RBM17
FAM217A	FAM217A
FSD2	FSD2
ABHD14A-ACY1	ABHD14A-ACY1
SLC9A8	SLC9A8
DGLUCY	DGLUCY
XPA	XPA
TBC1D7	TBC1D7
MYRF	MYRF
TMSB10	TMSB10
KRT1	KRT1
CSH2	CSH2
SPATA31A1	SPATA31A1
SLC16A11	SLC16A11
C9orf131	C9orf131
TUBB2B	TUBB2B
C19orf81	C19orf81
TMX3	TMX3
SIPA1L2	SIPA1L2
ASCC1	ASCC1
APEX1	APEX1
SZRD1	SZRD1
CAPN9	CAPN9
KPNA4	KPNA4
ANXA9	ANXA9
AC093512.2	AC093512.2
MYBBP1A	MYBBP1A
FAM135B	FAM135B
VPS41	VPS41
TGFBR1	TGFBR1
B3GNT3	B3GNT3
SNRPN	SNRPN
DEF8	DEF8
PKDCC	PKDCC
NKD2	NKD2
TMEM33	TMEM33
FAM229B	FAM229B
PRDM5	PRDM5
ANXA10	ANXA10
BAX	BAX
TAL2	TAL2
CISD3	CISD3
PLCB1	PLCB1
ALDH16A1	ALDH16A1
TAGLN3	TAGLN3
SHH	SHH
KAT2A	KAT2A
BTD	BTD
PLEKHG1	PLEKHG1
SYT5	SYT5
LXN	LXN
DUS4L	DUS4L
PFKL	PFKL
TEX43	TEX43
ERH	ERH
PLA2G2A	PLA2G2A
SOST	SOST
MPO	MPO
MECOM	MECOM
PTCD1	PTCD1
NXN	NXN
ITM2A	ITM2A
NOTUM	NOTUM
POMK	POMK
RNF6	RNF6
PALM	PALM
MAP9	MAP9
HSD17B11	HSD17B11
LSM4	LSM4
PRF1	PRF1
PPP1R8	PPP1R8
LAMA4	LAMA4
ZNF572	ZNF572
UNC45B	UNC45B
RAB4A	RAB4A
NMNAT3	NMNAT3
DISP2	DISP2
DRD1	DRD1
SETSIP	SETSIP
CHST4	CHST4
GYPE	GYPE
SLC24A5	SLC24A5
GTF2E1	GTF2E1
KIF19	KIF19
GPM6B	GPM6B
GUSB	GUSB
OPTN	OPTN
NPM2	NPM2
OSCAR	OSCAR
SLC27A2	SLC27A2
NSD1	NSD1
ERLEC1	ERLEC1
ADGRE1	ADGRE1
SLC35A1	SLC35A1
CYP2W1	CYP2W1
TARM1	TARM1
CRAMP1	CRAMP1
MAGEA11	MAGEA11
C2orf50	C2orf50
UBE2O	UBE2O
GDPD4	GDPD4
SAMD3	SAMD3
SLC38A2	SLC38A2
STIM1	STIM1
CERS4	CERS4
ENTPD8	ENTPD8
CPT1B	CPT1B
PREX1	PREX1
LEUTX	LEUTX
SPAAR	SPAAR
WNT1	WNT1
DNA2	DNA2
CNN1	CNN1
DTWD2	DTWD2
ADAMTS4	ADAMTS4
FMN2	FMN2
GPC6	GPC6
GNPAT	GNPAT
FOLR1	FOLR1
TULP3	TULP3
C1QTNF9B	C1QTNF9B
PSMA6	PSMA6
JAGN1	JAGN1
PLEKHH2	PLEKHH2
CENPP	CENPP
HIST2H2AA3	HIST2H2AA3
GBX1	GBX1
NXPH4	NXPH4
ZNF503	ZNF503
IFITM10	IFITM10
AL512785.2	AL512785.2
HOPX	HOPX
BEND6	BEND6
RGS7BP	RGS7BP
STRAP	STRAP
POU6F2	POU6F2
ACVR2A	ACVR2A
AL662884.4	AL662884.4
MYH3	MYH3
GNG5	GNG5
GTF2A1	GTF2A1
ANKRD20A4	ANKRD20A4
GINS4	GINS4
GALNT1	GALNT1
HACL1	HACL1
RTL10	RTL10
SLC25A13	SLC25A13
ZBTB34	ZBTB34
CHTF8	CHTF8
MAGEA9B	MAGEA9B
TRMT2A	TRMT2A
SPINK2	SPINK2
FAM13C	FAM13C
KIF5A	KIF5A
PURG	PURG
ARPC1B	ARPC1B
ITGB8	ITGB8
IFT52	IFT52
SNX25	SNX25
DFFA	DFFA
KLHL31	KLHL31
BLNK	BLNK
FPGT-TNNI3K	FPGT-TNNI3K
PABPC5	PABPC5
CENPA	CENPA
HCFC1R1	HCFC1R1
YIPF5	YIPF5
HEY2	HEY2
DYNC2LI1	DYNC2LI1
TNFRSF14	TNFRSF14
OMA1	OMA1
PREB	PREB
PLAA	PLAA
PI4KB	PI4KB
HIF1A	HIF1A
NRP2	NRP2
TBCB	TBCB
DNAH7	DNAH7
C15orf61	C15orf61
VRK1	VRK1
CLEC17A	CLEC17A
CSTF2T	CSTF2T
ALDH3B1	ALDH3B1
FUT4	FUT4
ZNF121	ZNF121
ADSSL1	ADSSL1
CLK2	CLK2
SMIM19	SMIM19
PTPRD	PTPRD
KRTAP12-3	KRTAP12-3
ADGRV1	ADGRV1
IQCH	IQCH
CCDC87	CCDC87
ANKRD34B	ANKRD34B
CAPG	CAPG
ATAD2B	ATAD2B
CD68	CD68
ENDOD1	ENDOD1
SLC52A1	SLC52A1
EIF4G3	EIF4G3
PNPLA2	PNPLA2
FAM43A	FAM43A
NUP153	NUP153
SLC22A17	SLC22A17
RGPD3	RGPD3
NIPSNAP2	NIPSNAP2
ANP32E	ANP32E
TLX3	TLX3
KRTAP7-1	KRTAP7-1
CSF2RB	CSF2RB
R3HDM4	R3HDM4
TRPC5OS	TRPC5OS
OC90	OC90
BUB1B	BUB1B
TIMM17A	TIMM17A
GJB6	GJB6
MRPS18C	MRPS18C
ZNF239	ZNF239
ZFY	ZFY
SERGEF	SERGEF
ROPN1L	ROPN1L
RCE1	RCE1
IMP3	IMP3
ZNF160	ZNF160
SLC17A6	SLC17A6
SCGB1C2	SCGB1C2
SCN4B	SCN4B
DNPEP	DNPEP
SAFB2	SAFB2
KCND1	KCND1
TMEM68	TMEM68
LMLN	LMLN
RBX1	RBX1
C5orf60	C5orf60
HEG1	HEG1
COX18	COX18
KLHL24	KLHL24
AC005082.1	AC005082.1
POLR1B	POLR1B
MOGAT1	MOGAT1
SLC25A37	SLC25A37
ERVMER34-1	ERVMER34-1
TALDO1	TALDO1
ZNF589	ZNF589
SEC23A	SEC23A
CEP112	CEP112
DEPDC1B	DEPDC1B
PNO1	PNO1
APOLD1	APOLD1
ASTN2	ASTN2
G3BP2	G3BP2
EDAR	EDAR
FMO2	FMO2
C1orf21	C1orf21
TMEM39B	TMEM39B
HBA2	HBA2
TONSL	TONSL
RDH13	RDH13
SMPDL3A	SMPDL3A
PTPRN2	PTPRN2
SHLD1	SHLD1
ANKRD36C	ANKRD36C
PTPMT1	PTPMT1
CLIC3	CLIC3
CYREN	CYREN
LILRA4	LILRA4
ZNF671	ZNF671
ATMIN	ATMIN
AKR1C2	AKR1C2
CDR1	CDR1
GSTM4	GSTM4
MOSPD3	MOSPD3
SPTA1	SPTA1
ZNF728	ZNF728
TWIST2	TWIST2
RIPOR2	RIPOR2
CTSF	CTSF
EDA2R	EDA2R
PCDHB16	PCDHB16
COX7A1	COX7A1
BCL2A1	BCL2A1
KCNK12	KCNK12
MTMR1	MTMR1
RSPO1	RSPO1
ULBP3	ULBP3
CFAP45	CFAP45
RALGPS1	RALGPS1
MB21D2	MB21D2
LENG9	LENG9
ST8SIA1	ST8SIA1
TMEM263	TMEM263
PEF1	PEF1
XRCC3	XRCC3
PRMT5	PRMT5
NEDD4L	NEDD4L
KNL1	KNL1
NXT2	NXT2
KLHL40	KLHL40
CCDC91	CCDC91
PRRX1	PRRX1
FES	FES
NPC1	NPC1
ACKR3	ACKR3
RAB3D	RAB3D
DDX25	DDX25
SUCLG1	SUCLG1
MRPS34	MRPS34
TSEN2	TSEN2
RHOT2	RHOT2
PHF14	PHF14
PAK5	PAK5
HIC2	HIC2
TNFAIP3	TNFAIP3
OR2AK2	OR2AK2
NIPBL	NIPBL
AQP3	AQP3
CPLX3	CPLX3
ELK3	ELK3
SDHAF4	SDHAF4
ARL2	ARL2
AC007998.2	AC007998.2
HIPK2	HIPK2
ZNF594	ZNF594
RTL5	RTL5
CPNE8	CPNE8
AC004076.1	AC004076.1
IL18	IL18
TINAG	TINAG
SPP2	SPP2
CNP	CNP
DNM2	DNM2
FCMR	FCMR
LCAT	LCAT
PAGR1	PAGR1
RABEP1	RABEP1
TMEM69	TMEM69
PCYT1A	PCYT1A
LSG1	LSG1
CDH3	CDH3
LARGE1	LARGE1
TSHR	TSHR
GAS7	GAS7
EPOP	EPOP
TFG	TFG
ZNF561	ZNF561
AP001094.1	AP001094.1
SLC7A3	SLC7A3
CLLU1OS	CLLU1OS
LRFN4	LRFN4
F8A1	F8A1
C11orf87	C11orf87
DIAPH2	DIAPH2
SUSD4	SUSD4
FAM171A2	FAM171A2
ASRGL1	ASRGL1
SLC7A1	SLC7A1
CSNK1A1	CSNK1A1
NPIPA8	NPIPA8
HDAC11	HDAC11
ELP1	ELP1
MYCBPAP	MYCBPAP
ANKRD46	ANKRD46
CYP20A1	CYP20A1
GLS	GLS
ARSD	ARSD
SAP30	SAP30
ANKRD30B	ANKRD30B
ATG16L1	ATG16L1
GBX2	GBX2
OR7D2	OR7D2
LSM6	LSM6
RNF219	RNF219
MOB3B	MOB3B
DYNLT1	DYNLT1
RPS15	RPS15
SCN8A	SCN8A
ATP8B3	ATP8B3
TMEM70	TMEM70
PCDHB10	PCDHB10
CDKL3	CDKL3
FAM171B	FAM171B
NBPF15	NBPF15
MED1	MED1
HIST1H2AM	HIST1H2AM
GADD45GIP1	GADD45GIP1
SMARCC1	SMARCC1
VWA7	VWA7
CHRM1	CHRM1
SLC27A5	SLC27A5
C7orf77	C7orf77
B3GALT6	B3GALT6
EFEMP2	EFEMP2
LOX	LOX
RP9	RP9
IGLL5	IGLL5
NSA2	NSA2
MOB3C	MOB3C
NFKBIZ	NFKBIZ
ACTG1	ACTG1
TMEM245	TMEM245
OR2T11	OR2T11
NUTM2A	NUTM2A
KLRG1	KLRG1
SEMA4F	SEMA4F
GATA1	GATA1
ADRM1	ADRM1
ACD	ACD
NSUN4	NSUN4
UNC79	UNC79
ZNF496	ZNF496
POLQ	POLQ
FBLN5	FBLN5
AGO4	AGO4
TMEM92	TMEM92
ACPP	ACPP
GNG10	GNG10
ALG5	ALG5
GOLGA8B	GOLGA8B
FERMT1	FERMT1
DENND1A	DENND1A
ANO2	ANO2
BUD23	BUD23
MSANTD4	MSANTD4
GMFB	GMFB
SMDT1	SMDT1
SELENOI	SELENOI
ARHGAP29	ARHGAP29
EFHB	EFHB
FAM221A	FAM221A
PPP1R9B	PPP1R9B
EMILIN1	EMILIN1
MPC1	MPC1
FBXO7	FBXO7
RASA3	RASA3
PLA2G1B	PLA2G1B
WDR4	WDR4
RPL39	RPL39
RIC1	RIC1
PROB1	PROB1
CLSTN3	CLSTN3
FAAP24	FAAP24
CTBP2	CTBP2
F2R	F2R
NKG7	NKG7
ZKSCAN8	ZKSCAN8
PHF21B	PHF21B
FBXL6	FBXL6
ALDH3A2	ALDH3A2
COIL	COIL
TTC31	TTC31
ZNF543	ZNF543
GEMIN7	GEMIN7
CDH18	CDH18
JMJD1C	JMJD1C
SERPINA7	SERPINA7
MIA2	MIA2
GTF2H2C	GTF2H2C
STK11	STK11
ACTR3	ACTR3
BAHD1	BAHD1
RGL4	RGL4
SLC25A34	SLC25A34
AP000781.2	AP000781.2
RTKN	RTKN
EXTL3	EXTL3
STX12	STX12
FXYD7	FXYD7
TAB2	TAB2
SCN3B	SCN3B
CST6	CST6
SAMD4A	SAMD4A
CCL3	CCL3
RDX	RDX
RPS6KA6	RPS6KA6
SHQ1	SHQ1
SNTG1	SNTG1
SCARA3	SCARA3
INHBE	INHBE
ACOT12	ACOT12
GTPBP3	GTPBP3
GTF2H5	GTF2H5
PARP15	PARP15
FOLR3	FOLR3
GRM3	GRM3
PLIN4	PLIN4
AMPD2	AMPD2
SHANK1	SHANK1
RNF38	RNF38
FAM214A	FAM214A
SQLE	SQLE
PAPOLA	PAPOLA
GDE1	GDE1
RNF223	RNF223
NTRK3	NTRK3
BCLAF1	BCLAF1
FNDC5	FNDC5
STX19	STX19
MPP6	MPP6
CDH19	CDH19
PGLYRP4	PGLYRP4
SDR16C5	SDR16C5
SLC30A6	SLC30A6
FBXL5	FBXL5
DESI1	DESI1
FAM170B	FAM170B
SUSD5	SUSD5
ZBTB2	ZBTB2
OR51E2	OR51E2
MPV17L	MPV17L
NANOS3	NANOS3
DHX32	DHX32
STMN1	STMN1
MYRFL	MYRFL
HSBP1	HSBP1
TCTN1	TCTN1
EPOR	EPOR
GRM1	GRM1
ZMYND10	ZMYND10
NACC2	NACC2
CCDC36	CCDC36
C22orf39	C22orf39
GIGYF1	GIGYF1
TEX54	TEX54
MID1	MID1
KLK2	KLK2
ID4	ID4
IRX4	IRX4
CD70	CD70
BCAS3	BCAS3
DNAJC18	DNAJC18
SNRNP25	SNRNP25
DEPP1	DEPP1
IFNAR1	IFNAR1
ATP6V1C2	ATP6V1C2
HOOK3	HOOK3
TRMT1L	TRMT1L
C11orf1	C11orf1
SPINK8	SPINK8
MED29	MED29
PDZRN3	PDZRN3
FOXN4	FOXN4
BBOF1	BBOF1
DEFB126	DEFB126
GOLGA8K	GOLGA8K
PPDPF	PPDPF
INTS9	INTS9
DNAAF2	DNAAF2
TERB1	TERB1
GJB4	GJB4
HIST1H3I	HIST1H3I
NTNG2	NTNG2
FA2H	FA2H
SLC25A21	SLC25A21
PADI1	PADI1
PAX7	PAX7
GSTCD	GSTCD
S100A3	S100A3
RASSF5	RASSF5
CBLN3	CBLN3
CCDC51	CCDC51
CCL5	CCL5
CDK15	CDK15
CD7	CD7
SPG7	SPG7
SPRTN	SPRTN
PVALB	PVALB
GPKOW	GPKOW
ST3GAL4	ST3GAL4
NAT2	NAT2
AKAP2	AKAP2
IDNK	IDNK
NMNAT2	NMNAT2
UPK1A	UPK1A
TCIRG1	TCIRG1
NNAT	NNAT
USP16	USP16
SERF1A	SERF1A
OR1J1	OR1J1
FLYWCH1	FLYWCH1
GSTM1	GSTM1
MYD88	MYD88
ATP5MC2	ATP5MC2
RNF34	RNF34
UBXN7	UBXN7
FOXE3	FOXE3
HNRNPR	HNRNPR
ACSM6	ACSM6
CHRNA4	CHRNA4
BLOC1S5	BLOC1S5
OR52N5	OR52N5
PPOX	PPOX
KPNB1	KPNB1
ZBTB49	ZBTB49
SERPINB2	SERPINB2
RAC3	RAC3
KIN	KIN
ZBTB17	ZBTB17
GRM8	GRM8
WRB	WRB
AAR2	AAR2
KXD1	KXD1
GSS	GSS
EPDR1	EPDR1
AC093827.5	AC093827.5
SGCZ	SGCZ
AC127496.1	AC127496.1
STIM2	STIM2
SETDB1	SETDB1
PIGZ	PIGZ
AGTPBP1	AGTPBP1
RHCE	RHCE
PARVB	PARVB
NLRC4	NLRC4
PYROXD2	PYROXD2
FAM98C	FAM98C
CXCL3	CXCL3
ACOT9	ACOT9
TMCO1	TMCO1
C1orf112	C1orf112
HLX	HLX
SLC10A6	SLC10A6
ARHGEF37	ARHGEF37
MTA3	MTA3
PSRC1	PSRC1
LAIR2	LAIR2
HSFX1	HSFX1
DHX57	DHX57
LMF1	LMF1
ZBTB21	ZBTB21
YES1	YES1
TLR8	TLR8
ZNF695	ZNF695
DLX1	DLX1
CYP8B1	CYP8B1
KLK8	KLK8
CASP8AP2	CASP8AP2
CRHR1	CRHR1
CNRIP1	CNRIP1
AFG3L2	AFG3L2
FAM200A	FAM200A
ITGB7	ITGB7
SLPI	SLPI
HNRNPCL4	HNRNPCL4
C2	C2
CD40	CD40
WDR93	WDR93
ARPC2	ARPC2
KRTAP26-1	KRTAP26-1
FCHSD2	FCHSD2
TSGA10IP	TSGA10IP
FOXD1	FOXD1
NLE1	NLE1
SFTPA1	SFTPA1
TASP1	TASP1
HIST1H3G	HIST1H3G
CCDC190	CCDC190
ISCU	ISCU
ASTL	ASTL
IL17RD	IL17RD
E2F3	E2F3
DUS1L	DUS1L
PIBF1	PIBF1
C10orf99	C10orf99
UCN	UCN
COX6B1	COX6B1
GUCA1A	GUCA1A
ENG	ENG
PCP4L1	PCP4L1
SCARF1	SCARF1
NYAP2	NYAP2
FMN1	FMN1
TBC1D12	TBC1D12
NRG2	NRG2
SNAP91	SNAP91
GTF2F1	GTF2F1
SLC22A7	SLC22A7
ZNF154	ZNF154
ETFBKMT	ETFBKMT
PRDX6	PRDX6
RNMT	RNMT
SLC16A1	SLC16A1
MYO5C	MYO5C
SCYL3	SCYL3
DROSHA	DROSHA
DCTN2	DCTN2
IDS	IDS
ADAM22	ADAM22
C2orf72	C2orf72
C14orf39	C14orf39
NPFFR1	NPFFR1
PLLP	PLLP
ZNF142	ZNF142
ANXA4	ANXA4
ARHGAP17	ARHGAP17
COL8A2	COL8A2
TLE3	TLE3
SCNM1	SCNM1
CCM2L	CCM2L
DPT	DPT
SMAD4	SMAD4
NDUFB4	NDUFB4
ZBTB47	ZBTB47
RNF24	RNF24
SAP25	SAP25
TRIM35	TRIM35
ASPM	ASPM
ANXA2R	ANXA2R
TRUB1	TRUB1
FEV	FEV
AGMAT	AGMAT
CWC15	CWC15
SNX7	SNX7
NUDT3	NUDT3
SPSB4	SPSB4
LIX1L	LIX1L
CACNG1	CACNG1
TMEM82	TMEM82
AHSP	AHSP
PARP14	PARP14
STOM	STOM
ARL6IP5	ARL6IP5
DLEU7	DLEU7
JCAD	JCAD
RGS19	RGS19
KLF17	KLF17
PLIN3	PLIN3
NENF	NENF
DYM	DYM
SESN2	SESN2
SLC30A2	SLC30A2
CAPRIN2	CAPRIN2
AGPAT3	AGPAT3
SYT16	SYT16
PFKFB2	PFKFB2
SLC12A4	SLC12A4
TGM3	TGM3
ADAR	ADAR
CEACAM4	CEACAM4
ESRRA	ESRRA
CYC1	CYC1
LEFTY1	LEFTY1
RHOBTB3	RHOBTB3
ZNF684	ZNF684
SPAST	SPAST
C1orf194	C1orf194
GGA1	GGA1
TENM3	TENM3
CAMKMT	CAMKMT
RSBN1L	RSBN1L
COQ7	COQ7
FUNDC1	FUNDC1
C1orf109	C1orf109
CEP68	CEP68
KCNA7	KCNA7
ASIC1	ASIC1
NCR1	NCR1
DNAJC8	DNAJC8
TMEM97	TMEM97
SIRPA	SIRPA
CRADD	CRADD
C20orf144	C20orf144
MAPK9	MAPK9
USP13	USP13
RASSF10	RASSF10
BX255925.3	BX255925.3
OR10A6	OR10A6
SUN3	SUN3
PLAGL2	PLAGL2
RPL36	RPL36
MID1IP1	MID1IP1
GFER	GFER
CIZ1	CIZ1
HTRA2	HTRA2
SUGT1	SUGT1
TPM1	TPM1
TACC1	TACC1
CDNF	CDNF
CXorf38	CXorf38
LGI4	LGI4
SFN	SFN
CD33	CD33
KRT5	KRT5
NOL9	NOL9
SYNJ1	SYNJ1
CHRNA6	CHRNA6
FAM189A1	FAM189A1
IDE	IDE
LRFN5	LRFN5
DYNC1I2	DYNC1I2
SPATA9	SPATA9
EDDM3A	EDDM3A
RPS28	RPS28
RNF20	RNF20
RPS20	RPS20
CHI3L2	CHI3L2
PELI3	PELI3
FCRLB	FCRLB
BCL2L2	BCL2L2
GPLD1	GPLD1
FUT7	FUT7
OR52E5	OR52E5
IMPG1	IMPG1
PAAF1	PAAF1
SMPD2	SMPD2
SSH3	SSH3
TWISTNB	TWISTNB
AC006435.1	AC006435.1
MERTK	MERTK
COPS6	COPS6
OLA1	OLA1
BRS3	BRS3
ARMC1	ARMC1
U2AF1	U2AF1
FOLR2	FOLR2
PACRG	PACRG
MAFA	MAFA
CADM4	CADM4
MAPK11	MAPK11
LAD1	LAD1
PGP	PGP
RBAK-RBAKDN	RBAK-RBAKDN
MRTO4	MRTO4
SLC22A2	SLC22A2
PPP1R15A	PPP1R15A
ATL2	ATL2
HIST2H2BF	HIST2H2BF
OVOL2	OVOL2
DDX49	DDX49
S100A9	S100A9
DYNLRB2	DYNLRB2
STAC2	STAC2
SMIM10L2A	SMIM10L2A
LHX3	LHX3
BTLA	BTLA
APOE	APOE
PCSK2	PCSK2
DNAJC13	DNAJC13
NLRP12	NLRP12
ZNF418	ZNF418
PCSK9	PCSK9
PCDH9	PCDH9
ZRANB2	ZRANB2
BLOC1S4	BLOC1S4
BUD13	BUD13
SAMD9	SAMD9
MEF2C	MEF2C
ANKRD65	ANKRD65
MORN4	MORN4
BYSL	BYSL
PCOLCE2	PCOLCE2
MFSD11	MFSD11
ANKS6	ANKS6
PFN4	PFN4
SPANXB1	SPANXB1
CST4	CST4
BIRC6	BIRC6
LRP8	LRP8
CCDC151	CCDC151
TRA2A	TRA2A
TTN	TTN
SMIM13	SMIM13
ATR	ATR
SULT1A1	SULT1A1
MUC13	MUC13
