	tsp_mRNA
SLC25A39	SLC25A39
CD86	CD86
MRPL51	MRPL51
CNBD2	CNBD2
CEBPD	CEBPD
AC005697.1	AC005697.1
SCN4B	SCN4B
PPM1J	PPM1J
PIM1	PIM1
ACOT8	ACOT8
OCM	OCM
SFRP4	SFRP4
RIMS4	RIMS4
CELF3	CELF3
LMAN2	LMAN2
ADAD1	ADAD1
CEP83	CEP83
NNT	NNT
COL13A1	COL13A1
ST7L	ST7L
RCBTB2	RCBTB2
MRPS31	MRPS31
TAPT1	TAPT1
EMC2	EMC2
CETN2	CETN2
ZNF679	ZNF679
POLRMT	POLRMT
SNX4	SNX4
FCN3	FCN3
ELOA3B	ELOA3B
HLA-DPA1	HLA-DPA1
SPDYE6	SPDYE6
ZNF579	ZNF579
THOC6	THOC6
OR9Q2	OR9Q2
COL27A1	COL27A1
CCL8	CCL8
EFNA1	EFNA1
BLZF1	BLZF1
SCAND1	SCAND1
OAZ2	OAZ2
AKR1C3	AKR1C3
RABEPK	RABEPK
GABRD	GABRD
TCF15	TCF15
KIF21A	KIF21A
UGT1A8	UGT1A8
SLC6A16	SLC6A16
CA5A	CA5A
CCT4	CCT4
RGS21	RGS21
ARSG	ARSG
FPR3	FPR3
TSPAN11	TSPAN11
TMEM14B	TMEM14B
SYT6	SYT6
CYREN	CYREN
FOXM1	FOXM1
PPP6R3	PPP6R3
OR5M10	OR5M10
MED19	MED19
CTPS2	CTPS2
C16orf58	C16orf58
ANKRD63	ANKRD63
LINGO3	LINGO3
FCGR2B	FCGR2B
RBM4	RBM4
GAD1	GAD1
C1orf127	C1orf127
CPB1	CPB1
HIST1H4J	HIST1H4J
SLC22A2	SLC22A2
UMODL1	UMODL1
NTNG1	NTNG1
KLF14	KLF14
PRICKLE1	PRICKLE1
TMEM255A	TMEM255A
RAPH1	RAPH1
CARMIL2	CARMIL2
ZFP36L1	ZFP36L1
KRT83	KRT83
GPR107	GPR107
PLXNB3	PLXNB3
AADACL3	AADACL3
TLR2	TLR2
LGALS9B	LGALS9B
LRRC46	LRRC46
TAF6L	TAF6L
HAPLN1	HAPLN1
RNF145	RNF145
PPP2R5D	PPP2R5D
CSNK2A2	CSNK2A2
AC012531.2	AC012531.2
COX6B2	COX6B2
RNF113A	RNF113A
REPS2	REPS2
OR2J2	OR2J2
STPG2	STPG2
GRIN1	GRIN1
SREBF1	SREBF1
RARRES1	RARRES1
COX15	COX15
IFNB1	IFNB1
MON2	MON2
MEF2D	MEF2D
GPR4	GPR4
C7orf33	C7orf33
CBARP	CBARP
CNBD1	CNBD1
MIB1	MIB1
AP000867.1	AP000867.1
ESPN	ESPN
CALR3	CALR3
DIRAS1	DIRAS1
B3GNTL1	B3GNTL1
ZNF608	ZNF608
TRPM3	TRPM3
MGAT5	MGAT5
GP5	GP5
C9orf64	C9orf64
CLK4	CLK4
SAYSD1	SAYSD1
AATF	AATF
ABCG5	ABCG5
NDUFB9	NDUFB9
HLA-DPB1	HLA-DPB1
C5orf58	C5orf58
WSCD1	WSCD1
SETSIP	SETSIP
LSM8	LSM8
OPALIN	OPALIN
PLCB3	PLCB3
GPALPP1	GPALPP1
RPP30	RPP30
HK1	HK1
ACSM5	ACSM5
ANKRD60	ANKRD60
KCNG1	KCNG1
BARHL2	BARHL2
CASP7	CASP7
TMEM185A	TMEM185A
BEND4	BEND4
RXFP4	RXFP4
ZNF268	ZNF268
ZNF260	ZNF260
IFT122	IFT122
CDC14B	CDC14B
TDRD1	TDRD1
AC092811.1	AC092811.1
SLC7A7	SLC7A7
EPN1	EPN1
GEMIN5	GEMIN5
HKR1	HKR1
NUPL2	NUPL2
VEGFC	VEGFC
ACHE	ACHE
STH	STH
FZD4	FZD4
OR4M2	OR4M2
TMEM263	TMEM263
SYVN1	SYVN1
AMFR	AMFR
SNX30	SNX30
PNRC1	PNRC1
ARF6	ARF6
ADGRA2	ADGRA2
SFTPA2	SFTPA2
EOGT	EOGT
LEPROT	LEPROT
SLC35B1	SLC35B1
PRPF8	PRPF8
SNCAIP	SNCAIP
CCL16	CCL16
PLCG2	PLCG2
EFCAB2	EFCAB2
SBF2	SBF2
ATP6V1C1	ATP6V1C1
GNG4	GNG4
OR4C3	OR4C3
FFAR4	FFAR4
CCDC179	CCDC179
MFAP3	MFAP3
PIGBOS1	PIGBOS1
AMMECR1L	AMMECR1L
PRR22	PRR22
CSK	CSK
AC107021.1	AC107021.1
WAC	WAC
HOXD12	HOXD12
DUX4	DUX4
FAM83G	FAM83G
NKX6-1	NKX6-1
PRAMEF11	PRAMEF11
ACTN4	ACTN4
MAPK15	MAPK15
HSPB3	HSPB3
FCRLB	FCRLB
GLT1D1	GLT1D1
OR52E8	OR52E8
AATK	AATK
GLI3	GLI3
RPS6KB1	RPS6KB1
OR5AC2	OR5AC2
TMEM218	TMEM218
PARP15	PARP15
PSMF1	PSMF1
PSMA5	PSMA5
DDX11	DDX11
RABIF	RABIF
EDA	EDA
AL096677.1	AL096677.1
SCN4A	SCN4A
LRRN1	LRRN1
DEFB107A	DEFB107A
SSPO	SSPO
ATP5PD	ATP5PD
THSD7B	THSD7B
GML	GML
PSKH1	PSKH1
SNRNP27	SNRNP27
SLC14A1	SLC14A1
TTC34	TTC34
CCDC6	CCDC6
KRT1	KRT1
TTC25	TTC25
PAH	PAH
TMC5	TMC5
MYZAP	MYZAP
RXYLT1	RXYLT1
AMY1A	AMY1A
CWC15	CWC15
EIF4EBP1	EIF4EBP1
CASR	CASR
NDC80	NDC80
NTM	NTM
UCP1	UCP1
EXOSC6	EXOSC6
NBPF8	NBPF8
OR12D3	OR12D3
AL162431.1	AL162431.1
EPHB6	EPHB6
TAF11L12	TAF11L12
ACTL10	ACTL10
KNCN	KNCN
STEAP4	STEAP4
CLN6	CLN6
AC026369.1	AC026369.1
ADGRG7	ADGRG7
ANGPTL1	ANGPTL1
TSPY2	TSPY2
TM9SF1	TM9SF1
PTPN14	PTPN14
B3GALT6	B3GALT6
FAM3D	FAM3D
SMIM12	SMIM12
ZNF516	ZNF516
OR11H1	OR11H1
SEMA3F	SEMA3F
NUDT10	NUDT10
VIPR1	VIPR1
SCGB1C1	SCGB1C1
IMPG2	IMPG2
NDP	NDP
C9orf152	C9orf152
LGI1	LGI1
ARSI	ARSI
TP53BP2	TP53BP2
PRKCB	PRKCB
RFX5	RFX5
RAP1B	RAP1B
HSH2D	HSH2D
NTHL1	NTHL1
BTK	BTK
KCNJ1	KCNJ1
PLAUR	PLAUR
LIF	LIF
CHRNA2	CHRNA2
RAB10	RAB10
PHLDA2	PHLDA2
EDIL3	EDIL3
OR2B6	OR2B6
ATP5MC2	ATP5MC2
MAP2K1	MAP2K1
WNK2	WNK2
C1QTNF6	C1QTNF6
CHMP1B	CHMP1B
FAM45A	FAM45A
C3orf18	C3orf18
GIPC3	GIPC3
HIRA	HIRA
SETX	SETX
TFCP2	TFCP2
BTG4	BTG4
GLB1	GLB1
CRX	CRX
TICAM1	TICAM1
PLEKHA6	PLEKHA6
ARMC12	ARMC12
RBFOX3	RBFOX3
MLST8	MLST8
TATDN1	TATDN1
NRCAM	NRCAM
OR10H2	OR10H2
SLC7A6	SLC7A6
SDR16C5	SDR16C5
PNLDC1	PNLDC1
UST	UST
AC003043.1	AC003043.1
HAND1	HAND1
BRAF	BRAF
ITPR1	ITPR1
ATRIP	ATRIP
CASP1	CASP1
ARVCF	ARVCF
MRPS16	MRPS16
ZDHHC1	ZDHHC1
POR	POR
RGR	RGR
ENDOG	ENDOG
LPCAT4	LPCAT4
EXOC3L1	EXOC3L1
DEXI	DEXI
CCND1	CCND1
EREG	EREG
TBX3	TBX3
BLVRA	BLVRA
DCAF12L1	DCAF12L1
DEFB131B	DEFB131B
NAT8	NAT8
RIMS3	RIMS3
ARL13A	ARL13A
OR1C1	OR1C1
C4orf54	C4orf54
LTB	LTB
NLRP6	NLRP6
CELF4	CELF4
KLHL12	KLHL12
MARCH11	MARCH11
MAP7	MAP7
ATF7IP2	ATF7IP2
BIRC2	BIRC2
ADAM19	ADAM19
STAT5A	STAT5A
ARL17B	ARL17B
ARMC8	ARMC8
JPT2	JPT2
PLD5	PLD5
TBC1D25	TBC1D25
CRYBG1	CRYBG1
LYPLAL1	LYPLAL1
NUP98	NUP98
OPN1MW	OPN1MW
RAX2	RAX2
ZFP1	ZFP1
TMEM114	TMEM114
DYRK1B	DYRK1B
H2BFM	H2BFM
FBXL2	FBXL2
PIK3AP1	PIK3AP1
CT47A8	CT47A8
SFT2D2	SFT2D2
UBE2S	UBE2S
RBM8A	RBM8A
TOMM22	TOMM22
ENTPD2	ENTPD2
SLC27A3	SLC27A3
OR5K2	OR5K2
OTUD1	OTUD1
AL162231.1	AL162231.1
AC119673.1	AC119673.1
SLTM	SLTM
NDE1	NDE1
FLCN	FLCN
CALCR	CALCR
COX11	COX11
UEVLD	UEVLD
NUDT4	NUDT4
FXR1	FXR1
GCM2	GCM2
MAP2	MAP2
PEG3	PEG3
EYA1	EYA1
ZDHHC20	ZDHHC20
TMEM262	TMEM262
NT5DC4	NT5DC4
PRELID1	PRELID1
TBC1D10A	TBC1D10A
GATD1	GATD1
OR2M7	OR2M7
TP53TG3	TP53TG3
PRRC1	PRRC1
NIPAL2	NIPAL2
KNOP1	KNOP1
COL8A2	COL8A2
ABHD5	ABHD5
MPV17L2	MPV17L2
STEAP3	STEAP3
RFX4	RFX4
IFIH1	IFIH1
IMPACT	IMPACT
BACE2	BACE2
PSMD1	PSMD1
CRB2	CRB2
PCDH1	PCDH1
TP53TG5	TP53TG5
DYNLL2	DYNLL2
ZNF654	ZNF654
TTC19	TTC19
DHODH	DHODH
MRPL30	MRPL30
CPZ	CPZ
SLC43A3	SLC43A3
FERMT1	FERMT1
GIGYF1	GIGYF1
GPRC5B	GPRC5B
NOD2	NOD2
DHDH	DHDH
MYH11	MYH11
ATF3	ATF3
S100P	S100P
CASKIN1	CASKIN1
ARHGAP42	ARHGAP42
QPRT	QPRT
ELANE	ELANE
SFRP5	SFRP5
GPR135	GPR135
DHX16	DHX16
UBQLN1	UBQLN1
RBMY1A1	RBMY1A1
HECTD2	HECTD2
TPCN1	TPCN1
IQCF5	IQCF5
GRIN3A	GRIN3A
PQLC3	PQLC3
SPDYC	SPDYC
GAS2L3	GAS2L3
STARD6	STARD6
IPMK	IPMK
NOC4L	NOC4L
AC005837.2	AC005837.2
NHLRC2	NHLRC2
ZMYND11	ZMYND11
NQO2	NQO2
CD300C	CD300C
MRPL32	MRPL32
SPATA17	SPATA17
DYNLT3	DYNLT3
WIZ	WIZ
IFT20	IFT20
PMIS2	PMIS2
PPP1CA	PPP1CA
TSSK3	TSSK3
ZNF226	ZNF226
HAUS6	HAUS6
RGS9	RGS9
EEF1B2	EEF1B2
PCBP1	PCBP1
METTL3	METTL3
ITPRID1	ITPRID1
ICAM4	ICAM4
SAMD12	SAMD12
TTC37	TTC37
SERINC4	SERINC4
DARS2	DARS2
DAZL	DAZL
METTL25	METTL25
NGEF	NGEF
OSR2	OSR2
EDN1	EDN1
TBC1D19	TBC1D19
OR5AS1	OR5AS1
GHRHR	GHRHR
ZDHHC23	ZDHHC23
GPHN	GPHN
CEP152	CEP152
EDA2R	EDA2R
UBQLN3	UBQLN3
KLF15	KLF15
ZNF280A	ZNF280A
MATN2	MATN2
EGFL6	EGFL6
TP53TG3F	TP53TG3F
EPHA1	EPHA1
GNAI2	GNAI2
SPECC1	SPECC1
AP1M1	AP1M1
C6orf89	C6orf89
CCL14	CCL14
ANP32E	ANP32E
ATRX	ATRX
ZNF281	ZNF281
ZNF514	ZNF514
PTGR2	PTGR2
SHISA8	SHISA8
OLFML3	OLFML3
ZNF701	ZNF701
FKBP11	FKBP11
MOB3A	MOB3A
PRKACB	PRKACB
AF241726.2	AF241726.2
FBXL22	FBXL22
ALKBH3	ALKBH3
TEX44	TEX44
ACSF3	ACSF3
TM7SF3	TM7SF3
SLC27A5	SLC27A5
ID4	ID4
MT1X	MT1X
ZSWIM3	ZSWIM3
CEP131	CEP131
C16orf74	C16orf74
CCDC39	CCDC39
F3	F3
ZFP2	ZFP2
ZFAND6	ZFAND6
FAM120AOS	FAM120AOS
ZNF638	ZNF638
RBMY1B	RBMY1B
RPEL1	RPEL1
RPS6KA1	RPS6KA1
RSPH4A	RSPH4A
ANKRD13C	ANKRD13C
MLNR	MLNR
PWWP2B	PWWP2B
ROPN1	ROPN1
AL358333.1	AL358333.1
ZNF429	ZNF429
AAGAB	AAGAB
CSTF2	CSTF2
SBNO1	SBNO1
YARS2	YARS2
PCDHGB3	PCDHGB3
RARS2	RARS2
ZRSR2	ZRSR2
TH	TH
CCDC40	CCDC40
TEX28	TEX28
RHEX	RHEX
TEX37	TEX37
BANK1	BANK1
TRRAP	TRRAP
RPS12	RPS12
AP001888.1	AP001888.1
TAF11L5	TAF11L5
OOSP2	OOSP2
AC013470.2	AC013470.2
GAP43	GAP43
LRRC74A	LRRC74A
MED17	MED17
FCGBP	FCGBP
NBEA	NBEA
DDX4	DDX4
CA11	CA11
CACNG5	CACNG5
PCCA	PCCA
KLHL28	KLHL28
PLEKHH2	PLEKHH2
C19orf18	C19orf18
SPATA18	SPATA18
UNC45B	UNC45B
PIN1	PIN1
NPIPB7	NPIPB7
CPEB4	CPEB4
C1R	C1R
NME5	NME5
SPATA46	SPATA46
TAS2R50	TAS2R50
DCAF8L1	DCAF8L1
TXK	TXK
TMEM144	TMEM144
EFCAB6	EFCAB6
CT45A3	CT45A3
SEC22B	SEC22B
PRR15	PRR15
OR56A5	OR56A5
SNED1	SNED1
PRSS37	PRSS37
MCM5	MCM5
OR4F15	OR4F15
OR1D2	OR1D2
RALGPS2	RALGPS2
PCYOX1	PCYOX1
DHRS1	DHRS1
TMEM105	TMEM105
FBXO45	FBXO45
PSMA6	PSMA6
THAP5	THAP5
TNR	TNR
IKZF5	IKZF5
FBXO2	FBXO2
DTNBP1	DTNBP1
SPRR2G	SPRR2G
NXPH4	NXPH4
AC018470.1	AC018470.1
SP2	SP2
ZNF420	ZNF420
ONECUT2	ONECUT2
GPX1	GPX1
CWC27	CWC27
LSM3	LSM3
HSD17B12	HSD17B12
CHAT	CHAT
BRAT1	BRAT1
GOT1L1	GOT1L1
IGHV3-72	IGHV3-72
KLK7	KLK7
AP1S2	AP1S2
IL13	IL13
NECTIN3	NECTIN3
SLCO2A1	SLCO2A1
TTPA	TTPA
FAM25G	FAM25G
HSPA4L	HSPA4L
PI4KB	PI4KB
DNAJC8	DNAJC8
MYH10	MYH10
GALNS	GALNS
MRPS35	MRPS35
FOXO3	FOXO3
SLC12A7	SLC12A7
C10orf95	C10orf95
ELMOD1	ELMOD1
TIMM21	TIMM21
RCBTB1	RCBTB1
POLR2H	POLR2H
FMNL3	FMNL3
FSHB	FSHB
ZNF727	ZNF727
ALKBH7	ALKBH7
ACTR2	ACTR2
CBX5	CBX5
AKAP13	AKAP13
C19orf38	C19orf38
CCPG1	CCPG1
KPNA7	KPNA7
C8orf74	C8orf74
AL626787.1	AL626787.1
TAF11L3	TAF11L3
TNPO1	TNPO1
ST6GALNAC1	ST6GALNAC1
SLC22A8	SLC22A8
LRRIQ1	LRRIQ1
NIT1	NIT1
C1QTNF12	C1QTNF12
PRRG2	PRRG2
RUFY1	RUFY1
ATP6V0A1	ATP6V0A1
GPX5	GPX5
GDF15	GDF15
COASY	COASY
TLR5	TLR5
C5orf67	C5orf67
MYH13	MYH13
KIFAP3	KIFAP3
DHRS7C	DHRS7C
CHCHD10	CHCHD10
POC1B	POC1B
SUN3	SUN3
DNAJC7	DNAJC7
BTC	BTC
RTN2	RTN2
RHBDD2	RHBDD2
ANGPTL3	ANGPTL3
REG1B	REG1B
GNG2	GNG2
CASQ1	CASQ1
MYCT1	MYCT1
OR51C1P	OR51C1P
CLOCK	CLOCK
MGAM2	MGAM2
FAM53C	FAM53C
SNX17	SNX17
SP140	SP140
NUP62CL	NUP62CL
TAS2R38	TAS2R38
EGR4	EGR4
MGMT	MGMT
CACNA1D	CACNA1D
KCNA5	KCNA5
SHANK3	SHANK3
BUB1	BUB1
DYRK3	DYRK3
ASCC1	ASCC1
SPDYE4	SPDYE4
ABCA8	ABCA8
IFFO2	IFFO2
RNF217	RNF217
BCAP31	BCAP31
AC083862.1	AC083862.1
HERC6	HERC6
RBM12B	RBM12B
GFI1B	GFI1B
MSH4	MSH4
ZYX	ZYX
MBD3L5	MBD3L5
TRPM8	TRPM8
TMEM64	TMEM64
AMER1	AMER1
CASTOR2	CASTOR2
SLC16A12	SLC16A12
WDR83	WDR83
WDHD1	WDHD1
OPRK1	OPRK1
ZNF483	ZNF483
HMGN5	HMGN5
RBBP5	RBBP5
EPHA8	EPHA8
NKG7	NKG7
CCDC177	CCDC177
JMJD7	JMJD7
APOL5	APOL5
PDE7A	PDE7A
NAA20	NAA20
IRF9	IRF9
NSRP1	NSRP1
ESPNL	ESPNL
GRID2	GRID2
STT3B	STT3B
NOTCH4	NOTCH4
AQP4	AQP4
YY1AP1	YY1AP1
CFAP74	CFAP74
ANKRD66	ANKRD66
CMKLR1	CMKLR1
C8orf33	C8orf33
LRRC41	LRRC41
LMNA	LMNA
TRABD2B	TRABD2B
DRICH1	DRICH1
TTC1	TTC1
IGFBP2	IGFBP2
LARP1	LARP1
P2RY10	P2RY10
NUP188	NUP188
ECHDC1	ECHDC1
ZNF658	ZNF658
AP5B1	AP5B1
KCNQ4	KCNQ4
CXXC5	CXXC5
SV2B	SV2B
QARS	QARS
PIK3R6	PIK3R6
SCT	SCT
SPPL2B	SPPL2B
ELF4	ELF4
CCDC86	CCDC86
PGS1	PGS1
RLBP1	RLBP1
AC023632.1	AC023632.1
CDC14A	CDC14A
C10orf53	C10orf53
KIF12	KIF12
MAPK9	MAPK9
RPL23	RPL23
KRTAP10-7	KRTAP10-7
RHO	RHO
HIF3A	HIF3A
PPID	PPID
CDH8	CDH8
ASB13	ASB13
MRAP	MRAP
GMEB2	GMEB2
CCT8	CCT8
TLR1	TLR1
HRCT1	HRCT1
LIFR	LIFR
ZNF563	ZNF563
TNFSF13	TNFSF13
PPIL6	PPIL6
CLPX	CLPX
AC084121.6	AC084121.6
AC087477.1	AC087477.1
LST1	LST1
FSBP	FSBP
RHOB	RHOB
ARHGEF25	ARHGEF25
ZMYM4	ZMYM4
SAFB2	SAFB2
CBS	CBS
FFAR1	FFAR1
RAB19	RAB19
TMEM43	TMEM43
KLHL29	KLHL29
YOD1	YOD1
OR5AR1	OR5AR1
PROP1	PROP1
AQP12B	AQP12B
MYH15	MYH15
VPS45	VPS45
PDXDC1	PDXDC1
C19orf48	C19orf48
VWA5B2	VWA5B2
SCLY	SCLY
MVD	MVD
DEFB1	DEFB1
UTF1	UTF1
SLC25A25	SLC25A25
MYOZ1	MYOZ1
MUC7	MUC7
REPS1	REPS1
ART5	ART5
GPS2	GPS2
BBOX1	BBOX1
CSH2	CSH2
POC5	POC5
MMP24OS	MMP24OS
PSG7	PSG7
ADAM21	ADAM21
USH1C	USH1C
ITGAE	ITGAE
REX1BD	REX1BD
NLRC4	NLRC4
PDZD3	PDZD3
ZNF768	ZNF768
AC078925.1	AC078925.1
MYCN	MYCN
SPANXN1	SPANXN1
PPP1R13B	PPP1R13B
PLOD3	PLOD3
CDK2	CDK2
NFASC	NFASC
MYORG	MYORG
TIGD6	TIGD6
PTPN4	PTPN4
KLHDC7A	KLHDC7A
ZDHHC11B	ZDHHC11B
PROK2	PROK2
GSTT2B	GSTT2B
KLK11	KLK11
IL4R	IL4R
STK11	STK11
SLC31A2	SLC31A2
WFDC3	WFDC3
GTPBP4	GTPBP4
MRAP2	MRAP2
STX16	STX16
NR4A1	NR4A1
TMEM59	TMEM59
CEP57	CEP57
APRT	APRT
CACNA1H	CACNA1H
FO681492.1	FO681492.1
DAPP1	DAPP1
GPR158	GPR158
TMEM183A	TMEM183A
LEPR	LEPR
ZKSCAN5	ZKSCAN5
ARHGAP5	ARHGAP5
GALNT2	GALNT2
CAP1	CAP1
ABCC12	ABCC12
COG8	COG8
TACO1	TACO1
HNRNPF	HNRNPF
VRK1	VRK1
PLBD2	PLBD2
NECAB3	NECAB3
ZWILCH	ZWILCH
CAND1	CAND1
PANX2	PANX2
COX5B	COX5B
RIPK1	RIPK1
RTF1	RTF1
MZT2A	MZT2A
DEF8	DEF8
G0S2	G0S2
TNN	TNN
HBQ1	HBQ1
GOSR2	GOSR2
NKX2-6	NKX2-6
HSPG2	HSPG2
WDR7	WDR7
MGAT4C	MGAT4C
SFRP1	SFRP1
MIOS	MIOS
KCNK18	KCNK18
KLC2	KLC2
OR4N4	OR4N4
NAA80	NAA80
TMEM209	TMEM209
TNNC1	TNNC1
NSMCE2	NSMCE2
CCDC114	CCDC114
GNA11	GNA11
CD14	CD14
CCNJ	CCNJ
PSMC3IP	PSMC3IP
DSPP	DSPP
CRNKL1	CRNKL1
ERGIC2	ERGIC2
TDP1	TDP1
ANKIB1	ANKIB1
GAL	GAL
TBCA	TBCA
SEPT1	SEPT1
MYRF	MYRF
GPANK1	GPANK1
ELFN1	ELFN1
FAM169A	FAM169A
SLC35C2	SLC35C2
NACAD	NACAD
MSRB2	MSRB2
ZDHHC24	ZDHHC24
KIAA0895	KIAA0895
ANXA9	ANXA9
ZNF846	ZNF846
TMEM136	TMEM136
TMEM253	TMEM253
TTLL9	TTLL9
PODNL1	PODNL1
HIST1H3H	HIST1H3H
NCBP2	NCBP2
DUSP11	DUSP11
MYBL2	MYBL2
PWP2	PWP2
PLD2	PLD2
TNFSF18	TNFSF18
PEBP4	PEBP4
BPIFA2	BPIFA2
B3GNT8	B3GNT8
YTHDC1	YTHDC1
AL021920.2	AL021920.2
HIST1H1A	HIST1H1A
SSX4	SSX4
ESYT1	ESYT1
PCLO	PCLO
LSR	LSR
LLCFC1	LLCFC1
XKR7	XKR7
NPHP1	NPHP1
ZNF511	ZNF511
EPB42	EPB42
BTBD7	BTBD7
MCTP1	MCTP1
ALDH18A1	ALDH18A1
UQCC1	UQCC1
TPPP3	TPPP3
TRPC7	TRPC7
ASCC3	ASCC3
ZDHHC13	ZDHHC13
CMC4	CMC4
SFMBT2	SFMBT2
RTCA	RTCA
ARNTL	ARNTL
NABP1	NABP1
NEK11	NEK11
TAB1	TAB1
TTYH1	TTYH1
GFRA4	GFRA4
PTGES	PTGES
PIGY	PIGY
ZIC1	ZIC1
ADGRF2	ADGRF2
C12orf45	C12orf45
PRR20B	PRR20B
UTRN	UTRN
C17orf80	C17orf80
OR51G2	OR51G2
DHX8	DHX8
OR8I2	OR8I2
AC004080.3	AC004080.3
TMOD2	TMOD2
BTNL8	BTNL8
TST	TST
IL9R	IL9R
TK2	TK2
EPHX1	EPHX1
EXD3	EXD3
MAGI1	MAGI1
KCTD18	KCTD18
ZDHHC7	ZDHHC7
ZNF827	ZNF827
TRMT44	TRMT44
HBG2	HBG2
AADACL4	AADACL4
AL022328.1	AL022328.1
SEC16B	SEC16B
FNDC10	FNDC10
ZNF891	ZNF891
OR13C8	OR13C8
IDNK	IDNK
PALD1	PALD1
LCMT1	LCMT1
TMEM249	TMEM249
INTS3	INTS3
KLF13	KLF13
SHD	SHD
PFN1	PFN1
WWC1	WWC1
OXA1L	OXA1L
SMIM17	SMIM17
ZNF732	ZNF732
CSDC2	CSDC2
CD52	CD52
DYTN	DYTN
ZCCHC3	ZCCHC3
NCAPG2	NCAPG2
RRBP1	RRBP1
ACADS	ACADS
KARS	KARS
TMEM255B	TMEM255B
AL590822.2	AL590822.2
OGDHL	OGDHL
FAM3B	FAM3B
NGLY1	NGLY1
TOX4	TOX4
AGAP4	AGAP4
CACNA1G	CACNA1G
WDFY3	WDFY3
BCAT2	BCAT2
ARMCX3	ARMCX3
ZC2HC1A	ZC2HC1A
KLF18	KLF18
CD48	CD48
AC002451.1	AC002451.1
PRPS1	PRPS1
ZNF587	ZNF587
C5orf47	C5orf47
CRYZ	CRYZ
MT-ATP8	MT-ATP8
MED22	MED22
TMEM151A	TMEM151A
RPN1	RPN1
PMPCB	PMPCB
COL1A2	COL1A2
SERPINA6	SERPINA6
UQCRH	UQCRH
DOP1A	DOP1A
OR2B11	OR2B11
MRPL9	MRPL9
HMGB3	HMGB3
MYCBP2	MYCBP2
PCDHA7	PCDHA7
LYSMD3	LYSMD3
EIF3G	EIF3G
OR52N1	OR52N1
TOR1B	TOR1B
CPSF2	CPSF2
KAT8	KAT8
FOLR2	FOLR2
PLXND1	PLXND1
OR11L1	OR11L1
SLC30A10	SLC30A10
DOCK8	DOCK8
GPR19	GPR19
PON3	PON3
USP31	USP31
GZF1	GZF1
DSP	DSP
CLINT1	CLINT1
DISP1	DISP1
FAM174B	FAM174B
THRB	THRB
RFC5	RFC5
HEPHL1	HEPHL1
PPP2R3A	PPP2R3A
CNTN2	CNTN2
PEX19	PEX19
MCF2L	MCF2L
PPIP5K2	PPIP5K2
CLEC18B	CLEC18B
SAMD10	SAMD10
STAU1	STAU1
SKOR2	SKOR2
UBAC1	UBAC1
NCR3	NCR3
SYK	SYK
NR2E1	NR2E1
EPHB4	EPHB4
ANKLE1	ANKLE1
DNAJC25	DNAJC25
DNAJC24	DNAJC24
XRCC6	XRCC6
PAX4	PAX4
TCF20	TCF20
NCBP1	NCBP1
ZNF764	ZNF764
A2ML1	A2ML1
ASB10	ASB10
ZNF781	ZNF781
IFT57	IFT57
KCTD15	KCTD15
AC116366.3	AC116366.3
SPSB3	SPSB3
FAM90A1	FAM90A1
CLN3	CLN3
KYAT1	KYAT1
DHFR	DHFR
MRPS9	MRPS9
RASGEF1A	RASGEF1A
ARL17A	ARL17A
C4orf3	C4orf3
TRIM51	TRIM51
SOX12	SOX12
LUZP4	LUZP4
CD36	CD36
OTOG	OTOG
CTSZ	CTSZ
JPH2	JPH2
TREX2	TREX2
TRAK1	TRAK1
GADL1	GADL1
HAUS8	HAUS8
RPS27L	RPS27L
DXO	DXO
RNF224	RNF224
FUNDC1	FUNDC1
FUCA2	FUCA2
ACTR8	ACTR8
LUC7L2	LUC7L2
MCOLN2	MCOLN2
TWNK	TWNK
LCK	LCK
TUBB2B	TUBB2B
GUCY1B1	GUCY1B1
CILP2	CILP2
SH3TC1	SH3TC1
DDAH2	DDAH2
CPT2	CPT2
ADAMTS1	ADAMTS1
NPIPA1	NPIPA1
POC1A	POC1A
CFAP97	CFAP97
KMT2A	KMT2A
RNF13	RNF13
OR1E2	OR1E2
SYNGR4	SYNGR4
KCND1	KCND1
IGFN1	IGFN1
AC008397.1	AC008397.1
SUGT1	SUGT1
SPSB1	SPSB1
PADI3	PADI3
MED26	MED26
TYROBP	TYROBP
ZBTB46	ZBTB46
DAG1	DAG1
KCNJ5	KCNJ5
UNC93A	UNC93A
KTI12	KTI12
CPLX3	CPLX3
AC018512.1	AC018512.1
GCC1	GCC1
OR2T4	OR2T4
PAXIP1	PAXIP1
ABCB11	ABCB11
VWA1	VWA1
AQP1	AQP1
UNC80	UNC80
RFC2	RFC2
RHCG	RHCG
CPN1	CPN1
LRP8	LRP8
NSMCE1	NSMCE1
CDC23	CDC23
MAGIX	MAGIX
POSTN	POSTN
NOS3	NOS3
HINT2	HINT2
MOCS2	MOCS2
KEL	KEL
AL121900.2	AL121900.2
STX4	STX4
VWCE	VWCE
AIF1	AIF1
GLG1	GLG1
DPEP2NB	DPEP2NB
IGFL3	IGFL3
GGA2	GGA2
RIC1	RIC1
DGCR8	DGCR8
MCUR1	MCUR1
LYN	LYN
CREB3L4	CREB3L4
ADGRD1	ADGRD1
SLC13A3	SLC13A3
CYP27C1	CYP27C1
KIAA1191	KIAA1191
CYP1A1	CYP1A1
PLXNA4	PLXNA4
DOCK3	DOCK3
BSPRY	BSPRY
STEAP1B	STEAP1B
