	tsp_mRNA
POU3F1	POU3F1
MS4A14	MS4A14
ASAP1	ASAP1
B3GALT1	B3GALT1
WRN	WRN
HS3ST5	HS3ST5
PLK1	PLK1
OR51I1	OR51I1
C3orf20	C3orf20
DBI	DBI
PGM2L1	PGM2L1
DAPL1	DAPL1
HPS5	HPS5
SPANXN2	SPANXN2
ZSWIM9	ZSWIM9
GOLPH3	GOLPH3
AKNA	AKNA
BTBD10	BTBD10
CFAP299	CFAP299
H2AFB2	H2AFB2
CYP24A1	CYP24A1
C9	C9
UGT2A1	UGT2A1
ZNF37A	ZNF37A
CCDC154	CCDC154
C2CD4C	C2CD4C
GTF3C6	GTF3C6
UBE2Q2L	UBE2Q2L
REEP3	REEP3
EID1	EID1
PROCR	PROCR
NAT1	NAT1
USP17L17	USP17L17
PDPN	PDPN
PARP12	PARP12
EYA4	EYA4
MAB21L3	MAB21L3
SPRYD3	SPRYD3
GNG13	GNG13
WRB-SH3BGR	WRB-SH3BGR
KLHL30	KLHL30
NMUR2	NMUR2
MAP3K6	MAP3K6
MRPL39	MRPL39
OR6V1	OR6V1
PIWIL4	PIWIL4
TMEM147	TMEM147
HSD11B1	HSD11B1
SCN2B	SCN2B
METTL9	METTL9
DNAJB11	DNAJB11
ADAMTS7	ADAMTS7
COBLL1	COBLL1
RCAN3	RCAN3
AVPR1A	AVPR1A
NUDT21	NUDT21
PPM1G	PPM1G
NREP	NREP
DHX38	DHX38
FTCDNL1	FTCDNL1
AP4B1	AP4B1
ABCD2	ABCD2
BABAM1	BABAM1
FMR1NB	FMR1NB
ANKRD24	ANKRD24
CISH	CISH
CTRL	CTRL
B4GALT4	B4GALT4
CLRN3	CLRN3
C1QTNF5	C1QTNF5
LINS1	LINS1
TTL	TTL
SPRR3	SPRR3
RGS7BP	RGS7BP
C15orf62	C15orf62
ABHD15	ABHD15
EPHA6	EPHA6
ADRA2C	ADRA2C
AIMP1	AIMP1
MACO1	MACO1
ZNF480	ZNF480
TEAD3	TEAD3
WDR59	WDR59
ENPEP	ENPEP
MCHR1	MCHR1
FOXS1	FOXS1
SIGLEC15	SIGLEC15
PCDHB9	PCDHB9
FAM160B1	FAM160B1
MRS2	MRS2
RNF103-CHMP3	RNF103-CHMP3
KIAA0513	KIAA0513
SPRYD7	SPRYD7
OR2T29	OR2T29
TOE1	TOE1
AP003108.2	AP003108.2
KCNJ4	KCNJ4
HESX1	HESX1
SEMA4F	SEMA4F
ZFAT	ZFAT
ARHGAP28	ARHGAP28
LIN9	LIN9
PEX11A	PEX11A
SLITRK1	SLITRK1
EARS2	EARS2
RRM1	RRM1
AC016559.1	AC016559.1
TMEM37	TMEM37
LRRC4	LRRC4
ST8SIA3	ST8SIA3
CCNA2	CCNA2
RELA	RELA
PTPRB	PTPRB
ALS2CL	ALS2CL
TRAPPC8	TRAPPC8
SEH1L	SEH1L
MOS	MOS
TRMO	TRMO
GLUD2	GLUD2
SORCS1	SORCS1
BEND5	BEND5
PRAMEF9	PRAMEF9
ADORA3	ADORA3
CRYAA	CRYAA
NSDHL	NSDHL
PACS1	PACS1
STAT6	STAT6
GPD1	GPD1
PTK2B	PTK2B
TLR8	TLR8
STAB1	STAB1
ANKRD36B	ANKRD36B
GDPD5	GDPD5
ANKRD36	ANKRD36
NME2	NME2
ZNF431	ZNF431
CCDC63	CCDC63
IFT22	IFT22
CASTOR1	CASTOR1
USP47	USP47
FAM160A2	FAM160A2
OLFML2B	OLFML2B
LMOD1	LMOD1
PNMA3	PNMA3
AMY2B	AMY2B
FOXD4L5	FOXD4L5
CIAO2B	CIAO2B
CAPN2	CAPN2
AC244197.3	AC244197.3
GOLGA6D	GOLGA6D
ING2	ING2
NEGR1	NEGR1
SLC30A5	SLC30A5
SLC25A52	SLC25A52
PAF1	PAF1
COPS9	COPS9
RBMS2	RBMS2
PCGF2	PCGF2
AP001024.1	AP001024.1
ABCD1	ABCD1
IL22RA2	IL22RA2
VPS13B	VPS13B
PLXDC1	PLXDC1
USP17L30	USP17L30
RUFY2	RUFY2
PRDX1	PRDX1
HIRIP3	HIRIP3
PDIA4	PDIA4
RNASE13	RNASE13
CTTNBP2NL	CTTNBP2NL
ART1	ART1
GPRC6A	GPRC6A
COPS7B	COPS7B
ABHD12B	ABHD12B
RBM27	RBM27
GPX2	GPX2
FAM129C	FAM129C
RWDD3	RWDD3
SVIL	SVIL
BICDL1	BICDL1
LDHA	LDHA
MORN3	MORN3
NDUFC2	NDUFC2
TMEM239	TMEM239
ID1	ID1
GLIPR1	GLIPR1
NECTIN1	NECTIN1
CPLX4	CPLX4
TOR2A	TOR2A
FAU	FAU
RNLS	RNLS
SENP5	SENP5
SLC25A35	SLC25A35
FAM219B	FAM219B
CAMK1	CAMK1
MARK3	MARK3
IQGAP1	IQGAP1
WNT4	WNT4
SOWAHB	SOWAHB
ZNF511-PRAP1	ZNF511-PRAP1
CMTM1	CMTM1
CYP20A1	CYP20A1
CMTM4	CMTM4
ZFAND4	ZFAND4
FAM210A	FAM210A
ZNF418	ZNF418
MRPL33	MRPL33
GAGE12C	GAGE12C
FAM24A	FAM24A
SHCBP1	SHCBP1
ZRANB3	ZRANB3
CDK5	CDK5
NEUROD6	NEUROD6
INSYN1	INSYN1
HIST2H3PS2	HIST2H3PS2
MAPK12	MAPK12
MYO1G	MYO1G
PLEK2	PLEK2
NDUFA6	NDUFA6
TLX3	TLX3
STXBP5	STXBP5
NAA50	NAA50
RNASEL	RNASEL
MKRN3	MKRN3
STX5	STX5
N4BP2	N4BP2
C16orf90	C16orf90
MRPL42	MRPL42
ELOA3	ELOA3
HAS2	HAS2
TMCC1	TMCC1
RAP1A	RAP1A
STRADB	STRADB
SERPIND1	SERPIND1
MARCH4	MARCH4
MAGEH1	MAGEH1
LRRC17	LRRC17
GSC	GSC
MEA1	MEA1
TMX1	TMX1
PLSCR1	PLSCR1
CEMIP2	CEMIP2
C2CD4B	C2CD4B
FAM98A	FAM98A
SEMA7A	SEMA7A
PLOD2	PLOD2
BTNL2	BTNL2
ATP1A4	ATP1A4
HSPE1	HSPE1
CDX2	CDX2
MRPL20	MRPL20
STRA8	STRA8
ANKRD26	ANKRD26
PGK2	PGK2
USP7	USP7
KLK12	KLK12
HERPUD2	HERPUD2
MST1R	MST1R
S1PR1	S1PR1
ATP13A4	ATP13A4
MYH8	MYH8
CUL1	CUL1
C3orf84	C3orf84
IFNA8	IFNA8
ADD2	ADD2
GRK3	GRK3
L3MBTL2	L3MBTL2
SMIM9	SMIM9
LAMB2	LAMB2
SSU72	SSU72
STRC	STRC
BTBD11	BTBD11
ARL6	ARL6
ARHGEF6	ARHGEF6
TSSK2	TSSK2
TERT	TERT
CYP11A1	CYP11A1
GBA3	GBA3
OR51T1	OR51T1
ZNF181	ZNF181
FBXO32	FBXO32
UBXN6	UBXN6
TENT5B	TENT5B
NUPR1	NUPR1
RGS11	RGS11
NEURL1	NEURL1
BORCS7	BORCS7
MYCL	MYCL
CCDC61	CCDC61
C21orf62	C21orf62
TCIM	TCIM
KCNG2	KCNG2
TMCO4	TMCO4
LURAP1	LURAP1
DUSP9	DUSP9
CD300A	CD300A
CCDC144NL	CCDC144NL
PPIB	PPIB
LCN6	LCN6
GRM7	GRM7
APOE	APOE
CPNE2	CPNE2
PFDN4	PFDN4
DCLK1	DCLK1
OXER1	OXER1
OR2A5	OR2A5
HSD11B1L	HSD11B1L
HEATR3	HEATR3
SOST	SOST
FARS2	FARS2
MXD4	MXD4
TBC1D7	TBC1D7
ZNF296	ZNF296
CCDC106	CCDC106
HLCS	HLCS
ZNF530	ZNF530
COL19A1	COL19A1
LHFPL4	LHFPL4
CRTAM	CRTAM
EIF3K	EIF3K
LLPH	LLPH
DEFB118	DEFB118
PTPRCAP	PTPRCAP
RNF6	RNF6
DCD	DCD
GBP6	GBP6
ADAMTS6	ADAMTS6
OR4D2	OR4D2
SAMD15	SAMD15
CD69	CD69
LGALS2	LGALS2
PTPN12	PTPN12
LRRC45	LRRC45
EZH1	EZH1
ZNF519	ZNF519
MRC1	MRC1
MTRNR2L8	MTRNR2L8
ALOX15	ALOX15
KIR2DL1	KIR2DL1
ANKRD17	ANKRD17
MTMR6	MTMR6
STXBP4	STXBP4
ASB8	ASB8
CP	CP
MOSPD3	MOSPD3
SLC25A45	SLC25A45
CBLL1	CBLL1
ZNF426	ZNF426
PTH	PTH
NDST1	NDST1
OR4K5	OR4K5
LANCL1	LANCL1
UBE2Z	UBE2Z
CLDN2	CLDN2
MSR1	MSR1
CCDC43	CCDC43
FEM1C	FEM1C
CRYGS	CRYGS
NOP16	NOP16
ZBTB43	ZBTB43
TRIM41	TRIM41
AL032819.3	AL032819.3
CBR1	CBR1
EML4	EML4
