	variance
CRP	1.9655854
CYB5A	1.9435526
CHCHD10	1.9408821
FKBP5	1.9383821
IGF2	1.9364165
CALM3	1.9169041
PTN	1.9073542
DNAJB1	1.8972753
CALM2	1.877135
MMP7	1.8756282
UQCR10	1.8710439
COX4I1	1.8650166
FERMT3	1.8625947
RAN	1.8622136
TPPP3	1.8574886
CAV1	1.8524964
UQCRB	1.8504466
COL6A1	1.8454149
PTCRA	1.8356581
TACSTD2	1.8199914
GLUL	1.8197131
ITGB1	1.7795925
ACSL1	1.7685872
HMGA1	1.7573283
HMGB2	1.7534176
ID3	1.7387378
MARCKS	1.7224678
COX6B1	1.7102478
PLPP3	1.7101157
GMFG	1.7074697
HSPA5	1.7041503
ID2	1.6965343
IL32	1.6862856
TAT	1.6689457
JAK1	1.6645285
HSPE1	1.6615537
IGF1	1.6468998
MYL12B	1.6397058
MYL3	1.6382594
MZB1	1.6334952
NPC2	1.6006507
CLDN4	1.591819
COX6C	1.5787048
KIF2A	1.5719085
CYSTM1	1.559847
RARRES1	1.548285
FSTL1	1.5389272
SQSTM1	1.5376556
GAST	1.5242486
SLC25A3	1.5221956
SDCBP	1.5114095
NFKBIZ	1.5032343
CXCL14	1.5009992
CD36	1.4879016
ARPC2	1.4877568
BTG2	1.4813905
RGS13	1.4797174
CD37	1.4759235
MPP1	1.4700822
BRI3	1.4687966
SERPINB1	1.4665247
HSPA8	1.4642138
LST1	1.464005
ARPC3	1.4626331
PRTN3	1.4613725
ARPC5	1.4595788
PLAUR	1.4571258
CYP3A5	1.4488702
EIF3E	1.4473833
ID1	1.4467131
SORL1	1.4337752
A2M	1.4274685
PPP1R15A	1.4239044
KRT15	1.4060595
SLC25A5	1.3942347
GRN	1.3880342
MCL1	1.38368
AHNAK	1.3799634
HMGN1	1.3787851
KLRD1	1.3754324
SOCS3	1.3697547
NDUFS5	1.3629103
GZMB	1.36247
GSTO1	1.3593352
CILP	1.3584089
CCL20	1.358071
RPL36AL	1.3547758
PLCG2	1.3545648
CCND3	1.354362
TMA7	1.3447552
YWHAE	1.3443735
CFH	1.3432804
MYH9	1.3405493
LPP	1.3289405
C1QC	1.3275121
COX5B	1.3256991
IGFBP4	1.3200595
GZMA	1.3178827
HSPA1B	1.3140332
NEXN	1.3104756
THBS1	1.308347
PDLIM1	1.2978976
VWF	1.2947009
ALDH1A1	1.2929353
DCT	1.2911211
HCST	1.2859644
EZR	1.2834966
LTF	1.274942
UQCRQ	1.2729903
ATF3	1.2702205
CLDN5	1.2680643
TUBB2B	1.2648728
TALDO1	1.2635264
INSL5	1.2618381
RHOB	1.256
SAMSN1	1.2490861
LAMTOR1	1.2456485
YWHAZ	1.2455277
CAP1	1.2420291
FBN1	1.237557
PLN	1.2346106
RSPH1	1.2323
FCN1	1.2322713
CALR	1.2277534
EMP3	1.2249786
DUSP4	1.2242092
CPS1	1.2188088
SPI1	1.2178857
HLA-DRB1	1.214867
MEDAG	1.2009841
SLC2A3	1.2006799
MTPN	1.1964122
MAP1B	1.1764973
SSR4	1.1734077
ALDOA	1.1710559
EMP1	1.1661252
IQGAP1	1.1651614
IFITM1	1.1576475
ACTG2	1.1526647
NUCKS1	1.1519926
MMP9	1.1416187
NCL	1.1412324
CRABP2	1.1409087
OLFM4	1.1375395
CHCHD2	1.1363671
HMGN3	1.132806
TOMM7	1.1223018
THBS2	1.121059
SNCA	1.12074
CFLAR	1.1194679
GPC3	1.1169908
XBP1	1.1145846
SEC61G	1.1143453
PRF1	1.1123013
GYPC	1.1039103
CLIC1	1.1036867
COL3A1	1.0940108
LSP1	1.0936314
ITGB2	1.0869894
SGK1	1.0843171
CELF2	1.0752131
PDK4	1.0742546
ARL4C	1.0700514
CSRP1	1.0645999
RGS2	1.0611876
RGS1	1.0604452
CDC42EP3	1.0588269
C12orf57	1.0505105
KRT17	1.0469872
PSTPIP2	1.0454314
SNRPE	1.0363294
PRELP	1.0314559
REN	1.028764
HSPD1	1.0234696
FXYD2	1.0229788
VNN2	1.0220515
PTMS	1.0136732
PLIN2	1.010121
ANKRD1	1.0047412
EVI2B	1.0029615
PALLD	0.99807185
LTB	0.99434245
GNAI2	0.9849895
VMP1	0.982335
IFI6	0.9764967
PRH2	0.9750247
ZG16B	0.96607274
TYRP1	0.96067315
NPPB	0.95892924
CD177	0.95289737
APOM	0.95120555
TMEM40	0.94979525
AEBP1	0.94416267
CTSZ	0.9385377
RNF149	0.93798393
GPNMB	0.930079
MXD1	0.9275775
RAB11FIP1	0.91719264
UBL5	0.91673696
EPCAM	0.9163674
POLR2L	0.91616905
ECHS1	0.9150717
COX8A	0.9143057
ACTN1	0.9130875
AKAP9	0.9118785
COX7A2	0.91152006
SUMO2	0.90321445
NUPR1	0.902738
DAB2	0.8980428
CD7	0.8959775
SET	0.8959073
NDUFB2	0.8887403
MTURN	0.8834982
CCNI	0.88206017
CD14	0.8820056
MMD	0.8802504
CTSA	0.8781807
CCL22	0.87442213
SELL	0.8731265
AQP9	0.8727134
DES	0.87016845
TSPAN8	0.8686712
